time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,8,2
2.00008,0,0,0,1,9
4.00008,0,0,0,8,2
6.00012,0,0,0,0,10
15.0001,0,0,0,2,8
18.0001,0,0,0,10,0
18.0001,0,0,0,9,1
19.0002,0,0,0,2,8
21.0002,0,0,0,9,1
22.0002,0,0,0,6,4
22.0002,0,0,0,0,10
23.0002,0,0,0,3,7
24.0002,0,0,0,9,1
25.0002,0,0,0,3,7
26.0002,0,0,0,1,9
26.0003,0,0,0,0,10
28.0002,0,0,0,6,4
28.0003,0,0,0,0,10
29.0003,0,0,0,1,9
29.0003,0,0,0,0,10
30.0003,0,0,0,6,4
30.0003,0,0,0,0,10
32.0001,0,0,0,1,9
33.0003,0,0,0,7,3
34.0002,0,0,0,4,6
34.0002,0,0,0,2,8
35.0002,0,0,0,4,6
36.0002,0,0,0,0,10
37.0002,0,0,0,4,6
40.0003,0,0,0,1,9
41.0002,0,0,0,3,7
41.0003,0,0,0,6,4
42.0003,0,0,0,7,3
42.0003,0,0,0,2,8
44.0003,0,0,0,7,3
44.0003,0,0,0,5,5
44.0004,0,0,0,1,9
45.0003,0,0,0,3,7
46.0004,0,0,0,7,3
47.0002,0,0,0,10,0
47.0004,0,0,0,2,8
49.0004,0,0,0,10,0
50.0005,0,0,0,1,9
53.0005,0,0,0,10,0
54.0005,0,0,0,4,6
57.0005,0,0,0,10,0
58.0006,0,0,0,0,10
59.0006,0,0,0,10,0
59.0006,0,0,0,3,7
60.0006,0,0,0,10,0
61.0006,0,0,0,2,8
64.0006,0,0,0,10,0
65.0007,0,0,0,2,8
68.0007,0,0,0,10,0
68.0007,0,0,0,8,2
68.0008,0,0,0,0,10
69.0008,0,0,0,8,2
69.0008,0,0,0,5,5
70.0007,0,0,0,7,3
70.0008,0,0,0,4,6
71.0008,0,0,0,3,7
71.0008,0,0,0,1,9
72.0008,0,0,0,3,7
73.0008,0,0,0,6,4
73.0008,0,0,0,7,3
74.0009,0,0,0,1,9
76.0009,0,0,0,7,3
76.0009,0,0,0,6,4
78.0009,0,0,0,7,3
79.0009,0,0,0,0,10
80.0008,0,0,0,3,7
80.0008,0,0,0,1,9
81.0009,0,0,0,8,2
82.0008,0,0,0,0,10
83.0008,0,0,0,2,8
84.0008,0,0,0,10,0
85.0009,0,0,0,1,9
85.0009,0,0,0,0,10
87.0009,0,0,0,9,1
87.0009,0,0,0,0,10
88.0009,0,0,0,1,9
101.001,0,0,0,10,0
101.001,0,0,0,4,6
108.001,0,0,0,2,8
111.001,0,0,0,4,6
113.001,0,0,0,10,0
113.001,0,0,0,0,10
115.001,0,0,0,10,0
115.001,0,0,0,0,10
117.001,0,0,0,10,0
117.001,0,0,0,3,7
118.001,0,0,0,10,0
119.001,0,0,0,4,6
120.001,0,0,0,0,10
121.001,0,0,0,6,4
121.001,0,0,0,0,10
122.001,0,0,0,4,6
123.001,0,0,0,10,0
124.001,0,0,0,0,10
125.001,0,0,0,10,0
125.001,0,0,0,3,7
125.001,0,0,0,1,9
125.001,0,0,0,0,10
126.001,0,0,0,7,3
126.001,0,0,0,2,8
127.001,0,0,0,3,7
128.001,0,0,0,5,5
128.001,0,0,0,10,0
129.001,0,0,0,1,9
141.001,0,0,0,10,0
141.002,0,0,0,4,6
142.002,0,0,0,10,0
143.002,0,0,0,3,7
153.002,0,0,0,0,10
156.002,0,0,0,3,7
156.002,0,0,0,2,8
157.002,0,0,0,9,1
157.002,0,0,0,1,9
158.002,0,0,0,9,1
159.002,0,0,0,4,6
159.002,0,0,0,0,10
160.002,0,0,0,4,6
162.002,0,0,0,9,1
162.002,0,0,0,1,9
165.002,0,0,0,9,1
166.002,0,0,0,2,8
169.002,0,0,0,3,7
169.002,0,0,0,10,0
170.002,0,0,0,1,9
175.002,0,0,0,0,10
177.002,0,0,0,1,9
178.002,0,0,0,0,10
180.002,0,0,0,9,1
180.002,0,0,0,5,5
180.002,0,0,0,1,9
181.002,0,0,0,5,5
181.002,0,0,0,6,4
182.002,0,0,0,1,9
185.002,0,0,0,6,4
186.002,0,0,0,0,10
189.002,0,0,0,6,4
190.002,0,0,0,0,10
192.002,0,0,0,6,4
195.002,0,0,0,10,0
195.002,0,0,0,0,10
196.002,0,0,0,10,0
196.002,0,0,0,1,9
197.002,0,0,0,10,0
198.002,0,0,0,3,7
201.002,0,0,0,10,0
202.002,0,0,0,0,10
203.002,0,0,0,10,0
203.002,0,0,0,0,10
205.002,0,0,0,10,0
205.002,0,0,0,2,8
206.002,0,0,0,10,0
207.002,0,0,0,3,7
208.002,0,0,0,10,0
209.002,0,0,0,1,9
211.002,0,0,0,10,0
212.003,0,0,0,5,5
212.003,0,0,0,2,8
213.003,0,0,0,7,3
214.003,0,0,0,10,0
214.003,0,0,0,3,7
215.003,0,0,0,10,0
215.003,0,0,0,2,8
216.003,0,0,0,10,0
217.003,0,0,0,5,5
217.003,0,0,0,1,9
220.003,0,0,0,6,4
220.003,0,0,0,10,0
221.003,0,0,0,3,7
226.003,0,0,0,2,8
227.003,0,0,0,3,7
228.003,0,0,0,0,10
234.003,0,0,0,7,3
234.003,0,0,0,3,7
235.003,0,0,0,7,3
236.003,0,0,0,2,8
237.003,0,0,0,0,10
238.003,0,0,0,2,8
238.003,0,0,0,0,10
239.003,0,0,0,5,5
240.003,0,0,0,8,2
240.003,0,0,0,5,5
241.003,0,0,0,2,8
242.003,0,0,0,5,5
244.003,0,0,0,8,2
245.003,0,0,0,0,10
248.003,0,0,0,8,2
248.003,0,0,0,0,10
249.003,0,0,0,8,2
249.003,0,0,0,0,10
250.003,0,0,0,2,8
250.003,0,0,0,10,0
251.003,0,0,0,1,9
252.003,0,0,0,10,0
253.003,0,0,0,1,9
256.003,0,0,0,10,0
257.003,0,0,0,0,10
272.003,0,0,0,10,0
272.003,0,0,0,5,5
275.003,0,0,0,10,0
276.003,0,0,0,6,4
276.003,0,0,0,3,7
277.003,0,0,0,7,3
278.003,0,0,0,4,6
279.003,0,0,0,7,3
280.003,0,0,0,10,0
280.003,0,0,0,9,1
281.003,0,0,0,0,10
283.003,0,0,0,1,9
294.003,0,0,0,10,0
294.003,0,0,0,6,4
297.003,0,0,0,5,5
298.003,0,0,0,3,7
299.003,0,0,0,0,10
301.003,0,0,0,2,8
302.003,0,0,0,5,5
307.003,0,0,0,9,1
307.003,0,0,0,10,0
307.003,0,0,0,9,1
307.003,0,0,0,4,6
308.003,0,0,0,9,1
309.003,0,0,0,3,7
310.003,0,0,0,4,6
312.003,0,0,0,10,0
313.003,0,0,0,1,9
314.003,0,0,0,10,0
315.004,0,0,0,1,9
318.004,0,0,0,10,0
319.004,0,0,0,1,9
333.004,0,0,0,10,0
333.004,0,0,0,2,8
337.004,0,0,0,1,9
340.004,0,0,0,2,8
345.004,0,0,0,10,0
345.004,0,0,0,7,3
345.004,0,0,0,0,10
347.004,0,0,0,7,3
347.004,0,0,0,0,10
349.004,0,0,0,7,3
349.004,0,0,0,0,10
351.004,0,0,0,7,3
351.004,0,0,0,5,5
354.004,0,0,0,7,3
356.004,0,0,0,10,0
356.004,0,0,0,0,10
359.004,0,0,0,10,0
359.004,0,0,0,0,10
360.004,0,0,0,10,0
360.004,0,0,0,0,10
362.004,0,0,0,10,0
362.004,0,0,0,1,9
364.004,0,0,0,10,0
365.004,0,0,0,5,5
365.004,0,0,0,1,9
366.004,0,0,0,5,5
367.004,0,0,0,10,0
368.004,0,0,0,1,9
369.004,0,0,0,10,0
370.004,0,0,0,3,7
371.004,0,0,0,10,0
371.004,0,0,0,9,1
372.004,0,0,0,10,0
372.004,0,0,0,1,9
374.004,0,0,0,10,0
374.004,0,0,0,0,10
376.004,0,0,0,10,0
376.004,0,0,0,5,5
376.004,0,0,0,2,8
376.004,0,0,0,1,9
377.004,0,0,0,4,6
377.004,0,0,0,5,5
378.004,0,0,0,2,8
379.004,0,0,0,7,3
380.004,0,0,0,10,0
380.004,0,0,0,6,4
381.004,0,0,0,2,8
382.004,0,0,0,6,4
383.004,0,0,0,10,0
383.004,0,0,0,6,4
385.004,0,0,0,10,0
386.005,0,0,0,0,10
388.005,0,0,0,10,0
388.005,0,0,0,0,10
389.005,0,0,0,10,0
389.005,0,0,0,5,5
389.005,0,0,0,4,6
389.005,0,0,0,3,7
389.005,0,0,0,0,10
391.005,0,0,0,5,5
391.005,0,0,0,6,4
391.005,0,0,0,1,9
391.005,0,0,0,2,8
392.005,0,0,0,5,5
392.005,0,0,0,4,6
393.005,0,0,0,9,1
393.005,0,0,0,0,10
394.005,0,0,0,9,1
394.005,0,0,0,2,8
395.005,0,0,0,9,1
396.005,0,0,0,1,9
397.005,0,0,0,9,1
398.005,0,0,0,0,10
399.005,0,0,0,9,1
399.005,0,0,0,6,4
400.005,0,0,0,9,1
401.005,0,0,0,1,9
404.005,0,0,0,9,1
405.005,0,0,0,10,0
405.005,0,0,0,0,10
406.005,0,0,0,10,0
406.005,0,0,0,2,8
409.005,0,0,0,10,0
409.005,0,0,0,9,1
410.005,0,0,0,0,10
412.005,0,0,0,1,9
413.005,0,0,0,10,0
414.005,0,0,0,0,10
424.005,0,0,0,10,0
424.005,0,0,0,4,6
424.005,0,0,0,2,8
426.005,0,0,0,8,2
427.005,0,0,0,10,0
427.005,0,0,0,2,8
429.005,0,0,0,10,0
429.005,0,0,0,0,10
430.005,0,0,0,10,0
430.005,0,0,0,2,8
431.005,0,0,0,10,0
432.005,0,0,0,7,3
432.005,0,0,0,0,10
435.005,0,0,0,3,7
435.005,0,0,0,2,8
436.005,0,0,0,3,7
438.005,0,0,0,0,10
441.005,0,0,0,3,7
444.005,0,0,0,10,0
444.005,0,0,0,5,5
444.005,0,0,0,0,10
445.005,0,0,0,5,5
445.005,0,0,0,10,0
445.005,0,0,0,5,5
446.005,0,0,0,10,0
446.005,0,0,0,0,10
460.005,0,0,0,10,0
460.005,0,0,0,2,8
472.005,0,0,0,10,0
472.005,0,0,0,5,5
472.005,0,0,0,0,10
473.005,0,0,0,5,5
473.005,0,0,0,2,8
474.005,0,0,0,7,3
475.005,0,0,0,10,0
475.006,0,0,0,3,7
478.006,0,0,0,10,0
478.006,0,0,0,3,7
478.006,0,0,0,0,10
479.006,0,0,0,7,3
479.006,0,0,0,0,10
481.006,0,0,0,3,7
489.006,0,0,0,10,0
489.006,0,0,0,1,9
502.006,0,0,0,10,0
502.006,0,0,0,0,10
505.006,0,0,0,10,0
505.006,0,0,0,4,6
505.006,0,0,0,0,10
508.006,0,0,0,6,4
508.006,0,0,0,10,0
509.006,0,0,0,0,10
510.006,0,0,0,10,0
510.006,0,0,0,0,10
512.006,0,0,0,10,0
512.006,0,0,0,2,8
522.006,0,0,0,10,0
522.006,0,0,0,1,9
525.006,0,0,0,10,0
526.006,0,0,0,3,7
528.006,0,0,0,10,0
529.006,0,0,0,0,10
532.006,0,0,0,10,0
532.006,0,0,0,0,10
533.006,0,0,0,10,0
533.006,0,0,0,1,9
534.006,0,0,0,10,0
535.006,0,0,0,0,10
538.006,0,0,0,10,0
538.006,0,0,0,0,10
551.006,0,0,0,10,0
551.006,0,0,0,3,7
553.006,0,0,0,10,0
554.006,0,0,0,3,7
568.006,0,0,0,10,0
568.007,0,0,0,1,9
570.007,0,0,0,10,0
571.007,0,0,0,0,10
586.007,0,0,0,10,0
