time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
3.00009,4860.14,s,2100,1620
5.00009,8940.14,e,2100,2040
7.00015,12180.2,s,2100,1620
10.0001,17940.2,e,2100,1920
11.0002,19560.3,s,2100,1620
13.0002,23400.3,e,2100,1920
15.0001,26640.1,e,2100,1620
15.0003,26640.4,s,2100,1500
17.0003,30840.4,e,2100,2100
17.0003,30840.4,s,2100,1500
19.0003,34920.4,e,2100,2040
20.0003,36420.5,s,2100,1500
21.0003,38400.5,e,2100,1980
22.0004,39900.5,s,2100,1500
22.0004,39900.6,s,2100,1860
22.0004,39900.6,s,2100,1920
25.0004,45840.5,e,2100,1980
26.0004,47460.6,s,2100,1620
35.0004,66360.6,e,2100,2100
36.0004,68400.5,e,2100,2040
36.0004,68400.6,s,2100,1980
38.0004,72600.6,e,2100,2100
38.0004,72600.7,s,2100,1620
38.0004,72600.7,s,2100,1680
40.0004,76440.7,e,2100,1920
41.0004,78120.7,e,2100,1680
41.0005,78120.7,s,2100,1620
41.0005,78120.8,s,2100,1800
42.0005,80040.8,e,2100,1920
43.0005,81840.8,s,2100,1800
44.0005,83760.8,e,2100,1920
46.0006,87360.9,s,2100,1800
47.0006,89340.9,e,2100,1980
49.0006,92940.9,s,2100,1800
50.0006,94920.9,e,2100,1980
51.0004,96720.6,e,2100,1800
51.0006,96720.9,s,2100,1680
54.0005,103021,e,2100,2100
65.0006,124141,e,2100,1920
65.0007,124141,s,2100,1500
66.0007,126181,e,2100,2040
67.0007,127681,s,2100,1500
69.0007,131881,e,2100,2100
69.0007,131881,s,2100,1500
71.0007,135721,e,2100,1920
72.0008,137221,s,2100,1500
73.0008,139201,s,2100,1980
75.0008,143401,e,2100,2100
75.0008,143401,e,2100,NA
75.0008,143401,s,2100,1500
76.0008,145321,e,2100,1920
77.0008,146821,s,2100,1500
79.0008,150901,e,2100,2040
80.0009,152401,s,2100,1500
80.0009,152401,s,2100,1980
82.0009,156481,e,2100,2040
82.0009,156481,e,2100,1560
83.0009,157981,s,2100,1500
84.0009,160081,e,2100,2100
84.0009,160081,s,2100,1500
87.0009,165661,e,2100,1860
88.001,167161,s,2100,1500
88.001,167161,s,2100,1980
89.001,169261,e,2100,2100
90.001,171241,e,2100,1980
90.001,171242,s,2100,1500
93.001,177362,e,2100,2040
94.0011,178862,s,2100,1500
95.0011,180842,e,2100,1980
96.0011,182342,s,2100,1500
97.0011,184442,e,2100,2100
97.0011,184442,s,2100,1500
97.0011,184442,s,2100,1920
98.0011,186542,e,2100,2100
98.0012,186542,s,2100,1680
100.001,190622,e,2100,2040
101.001,192302,s,2100,1680
103.001,196382,e,2100,2040
104.001,198062,s,2100,1680
106.001,202262,e,2100,2100
106.001,202262,s,2100,1680
106.001,202262,s,2100,1860
108.001,206462,e,2100,2100
108.001,206462,e,2100,1920
109.001,208142,s,2100,1680
