time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
2.00008,3240.11,s,2100,1620
4.00008,7320.11,e,2100,2040
6.00012,10560.2,s,2100,1620
15.0001,29460.1,e,2100,2100
18.0001,35400.2,e,2100,1980
19.0002,36900.2,s,2100,1500
20.0002,38940.2,e,2100,2040
21.0002,40440.3,s,2100,1500
22.0002,42360.3,e,2100,1920
23.0002,43860.3,s,2100,1500
26.0002,49980.3,e,2100,2040
26.0002,49980.4,s,2100,1500
26.0003,49980.4,s,2100,1560
26.0003,49980.5,s,2100,1860
27.0003,51900.4,s,2100,1920
28.0003,54000.4,e,2100,2100
28.0003,54000.5,s,2100,1920
29.0003,56040.4,e,2100,2040
29.0003,56040.5,e,2100,1740
30.0003,57720.5,s,2100,1680
30.0004,57720.6,s,2100,1920
32.0003,61680.5,e,2100,1980
33.0004,63420.6,s,2100,1740
34.0004,65340.6,e,2100,1920
34.0004,65340.6,s,2100,NA
37.0005,71100.8,s,2100,1920
38.0005,73140.8,e,2100,2040
40.0002,76980.3,e,2100,1920
43.0003,82560.5,e,2100,1860
43.0004,82560.5,e,2100,1740
43.0006,82560.9,s,2100,1680
47.0004,90960.5,e,2100,2100
48.0004,92880.6,s,2100,1920
49.0004,94920.6,e,2100,2040
57.0006,110281,e,2100,1920
58.0006,111781,s,2100,1500
60.0006,115981,e,2100,2100
60.0006,115981,s,2100,1500
62.0006,119701,e,2100,1860
63.0006,121201,s,2100,1500
65.0006,124921,e,2100,1860
66.0007,126421,s,2100,1500
69.0007,132001,e,2100,1860
70.0008,133501,s,2100,1500
70.0008,133501,s,2100,1860
72.0008,137461,e,2100,1980
73.0008,139321,e,2100,1860
74.0008,140821,s,2100,1500
75.0008,142801,e,2100,1980
76.0008,144301,s,2100,1500
78.0008,148261,e,2100,1980
79.0009,149761,s,2100,1500
80.0009,151501,e,2100,1740
81.0009,153001,s,2100,1500
83.0009,157081,e,2100,2040
84.001,158581,s,2100,1500
86.001,162301,e,2100,1860
87.001,163802,s,2100,1500
90.001,169742,e,2100,1980
91.0011,171242,s,2100,1500
105.001,199802,e,2100,2040
105.001,199802,s,2100,1500
105.001,199802,s,2100,1920
107.001,203762,e,2100,1980
107.001,203762,e,2100,1560
108.001,205262,s,2100,1500
110.001,209342,e,2100,2040
111.001,210842,s,2100,1500
111.001,210842,s,2100,1620
112.001,212882,e,2100,2040
112.001,212882,s,2100,NA
112.001,212882,e,2100,1980
113.001,214442,s,2100,1560
114.001,216362,e,2100,1920
114.001,216362,s,2100,1860
116.001,220322,e,2100,1980
117.001,221942,e,2100,1620
117.001,221942,s,2100,1500
119.001,225782,e,2100,1920
120.002,227282,s,2100,1500
120.002,227282,s,2100,1800
120.002,227282,s,2100,2040
122.002,231482,e,2100,2100
122.002,231482,e,2100,1800
123.002,233042,e,2100,1560
123.002,233042,s,2100,NA
124.002,235082,e,2100,2040
124.002,235082,s,2100,1500
125.002,237182,e,2100,2100
125.002,237182,s,2100,1500
128.002,243122,e,2100,1980
129.002,244622,s,2100,1500
130.002,246722,e,2100,2100
130.002,246723,s,2100,1500
131.002,248703,e,2100,1980
132.002,250203,s,2100,1500
133.002,252183,e,2100,1980
134.002,253683,s,2100,1500
136.002,257883,e,2100,2100
136.002,257883,s,2100,1500
139.002,263823,e,2100,1980
140.002,265323,s,2100,1500
142.002,269043,e,2100,1860
143.002,270543,s,2100,1500
151.002,286863,s,2100,2040
153.002,291063,e,2100,2100
153.002,291063,e,2100,1560
196.003,355564,s,2100,1500
198.003,359524,e,2100,1980
199.003,361024,s,2100,1500
199.003,361024,s,2100,1620
200.003,363064,e,2100,2040
201.003,364684,s,2100,1620
202.003,366724,e,2100,2040
202.003,366724,e,2100,1920
202.003,366724,s,2100,NA
202.003,366724,s,2100,1560
202.003,366724,s,2100,1680
204.003,370684,e,2100,1980
205.003,372364,e,2100,1680
205.003,372364,s,2100,1560
208.003,378304,e,2100,1980
208.003,378304,s,2100,1560
215.003,392164,e,2100,1980
218.003,397924,e,2100,1920
218.003,397924,s,2100,1500
221.003,403324,e,2100,1800
222.003,404824,s,2100,1500
223.003,406685,s,2100,1860
226.003,412805,e,2100,2040
228.003,416525,s,2100,1860
229.003,418565,s,2100,2040
231.003,422765,e,2100,2100
234.003,428884,e,2100,2040
234.003,428885,s,2100,1680
234.003,428885,s,2100,2040
236.003,433085,e,2100,2100
236.003,433085,s,2100,1740
237.003,435185,e,2100,2100
237.003,435185,e,2100,NA
238.003,436865,s,2100,1680
239.003,438785,e,2100,1920
239.003,438785,e,2100,1740
239.003,438785,s,2100,NA
242.003,444365,e,2100,1860
242.003,444365,s,2100,1500
242.003,444365,s,2100,1860
244.003,448445,e,2100,2040
245.003,450125,e,2100,1680
245.003,450125,s,2100,1500
248.003,455525,e,2100,1800
249.003,457025,s,2100,1500
252.003,463145,e,2100,2040
253.003,464645,s,2100,1500
254.003,466745,e,2100,2100
254.003,466745,s,2100,1500
255.003,468845,e,2100,2100
255.003,468845,s,2100,1500
255.004,468845,s,2100,1740
256.004,470885,e,2100,2040
258.003,474365,e,2100,1740
259.004,475865,s,2100,1500
259.004,475865,s,2100,1680
259.004,475865,s,2100,1860
261.004,480065,e,2100,2100
261.004,480065,e,2100,1920
262.004,481805,s,2100,1740
265.004,487925,e,2100,2040
270.004,496626,s,2100,1740
270.004,496626,s,2100,1980
271.004,498726,e,2100,2100
274.004,504305,e,2100,1860
282.004,517266,e,2100,1620
282.004,517266,s,2100,1500
288.004,529506,s,2100,2040
289.004,531606,e,2100,2100
296.004,545886,e,2100,2040
318.004,578887,s,2100,1500
321.004,585007,e,2100,2040
322.004,586507,s,2100,1500
323.004,588247,e,2100,1740
324.005,589747,s,2100,1500
326.005,593947,e,2100,2100
326.005,593947,s,2100,1500
327.005,595867,e,2100,1920
328.005,597367,s,2100,1500
328.005,597367,s,2100,1620
