time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.00008,0,0,0,6,4
1.00009,0,0,0,3,7
2.00009,0,0,0,6,4
3.00008,0,0,0,10,0
3.00008,0,0,0,8,2
4.00009,0,0,0,2,8
5.00008,0,0,0,4,6
7.00009,0,0,0,10,0
8.00015,0,0,0,3,7
8.00017,0,0,0,2,8
10.0002,0,0,0,3,7
10.0002,0,0,0,2,8
12.0002,0,0,0,3,7
12.0002,0,0,0,1,9
13.0002,0,0,0,3,7
13.0003,0,0,0,2,8
15.0003,0,0,0,3,7
22.0002,0,0,0,10,0
22.0004,0,0,0,1,9
24.0004,0,0,0,10,0
25.0004,0,0,0,6,4
25.0004,0,0,0,0,10
26.0004,0,0,0,6,4
26.0005,0,0,0,1,9
27.0004,0,0,0,5,5
27.0005,0,0,0,1,9
29.0005,0,0,0,5,5
30.0005,0,0,0,2,8
32.0005,0,0,0,5,5
33.0006,0,0,0,2,8
35.0006,0,0,0,0,10
36.0006,0,0,0,3,7
36.0006,0,0,0,5,5
39.0005,0,0,0,10,0
39.0006,0,0,0,7,3
40.0006,0,0,0,10,0
42.0007,0,0,0,9,1
42.0007,0,0,0,0,10
43.0007,0,0,0,1,9
44.0007,0,0,0,10,0
45.0007,0,0,0,6,4
46.0007,0,0,0,5,5
47.0007,0,0,0,6,4
47.0008,0,0,0,3,7
48.0008,0,0,0,6,4
50.0008,0,0,0,1,9
51.0008,0,0,0,6,4
52.0008,0,0,0,0,10
55.0008,0,0,0,6,4
55.0009,0,0,0,1,9
60.0007,0,0,0,5,5
60.0009,0,0,0,1,9
63.0009,0,0,0,5,5
65.001,0,0,0,3,7
68.0009,0,0,0,8,2
68.001,0,0,0,10,0
68.0011,0,0,0,3,7
71.0011,0,0,0,10,0
72.0011,0,0,0,2,8
73.0011,0,0,0,10,0
74.0011,0,0,0,4,6
77.0011,0,0,0,10,0
77.0012,0,0,0,6,4
77.0012,0,0,0,1,9
79.0012,0,0,0,5,5
80.0012,0,0,0,10,0
81.0013,0,0,0,3,7
81.0013,0,0,0,2,8
84.0013,0,0,0,9,1
84.0013,0,0,0,10,0
85.0013,0,0,0,6,4
85.0013,0,0,0,0,10
86.0013,0,0,0,4,6
88.0013,0,0,0,10,0
89.0014,0,0,0,5,5
89.0014,0,0,0,2,8
90.0014,0,0,0,7,3
91.0014,0,0,0,10,0
91.0014,0,0,0,4,6
92.0014,0,0,0,10,0
93.0015,0,0,0,4,6
96.0015,0,0,0,10,0
97.0015,0,0,0,0,10
98.0015,0,0,0,10,0
98.0015,0,0,0,5,5
98.0015,0,0,0,3,7
100.002,0,0,0,8,2
100.002,0,0,0,10,0
101.002,0,0,0,1,9
103.002,0,0,0,10,0
104.002,0,0,0,1,9
105.002,0,0,0,0,10
115.002,0,0,0,9,1
115.002,0,0,0,1,9
117.002,0,0,0,9,1
119.002,0,0,0,10,0
119.002,0,0,0,3,7
122.002,0,0,0,10,0
123.002,0,0,0,2,8
137.002,0,0,0,10,0
137.002,0,0,0,2,8
140.002,0,0,0,10,0
141.002,0,0,0,4,6
141.002,0,0,0,2,8
143.002,0,0,0,8,2
143.002,0,0,0,10,0
144.002,0,0,0,0,10
145.002,0,0,0,10,0
145.002,0,0,0,7,3
146.002,0,0,0,0,10
147.002,0,0,0,3,7
147.002,0,0,0,10,0
148.002,0,0,0,6,4
150.002,0,0,0,10,0
151.002,0,0,0,4,6
154.002,0,0,0,10,0
155.002,0,0,0,7,3
156.002,0,0,0,10,0
157.002,0,0,0,9,1
157.002,0,0,0,3,7
158.002,0,0,0,9,1
159.002,0,0,0,0,10
160.002,0,0,0,1,9
160.002,0,0,0,10,0
177.003,0,0,0,1,9
180.003,0,0,0,10,0
181.003,0,0,0,6,4
183.003,0,0,0,0,10
184.003,0,0,0,4,6
185.003,0,0,0,10,0
186.003,0,0,0,2,8
187.003,0,0,0,10,0
188.003,0,0,0,8,2
188.003,0,0,0,0,10
189.003,0,0,0,8,2
189.003,0,0,0,1,9
190.003,0,0,0,3,7
192.003,0,0,0,10,0
193.003,0,0,0,2,8
195.003,0,0,0,10,0
196.003,0,0,0,0,10
197.003,0,0,0,10,0
197.003,0,0,0,2,8
200.003,0,0,0,10,0
201.003,0,0,0,6,4
201.003,0,0,0,3,7
203.003,0,0,0,6,4
204.003,0,0,0,10,0
205.003,0,0,0,2,8
207.003,0,0,0,10,0
208.003,0,0,0,4,6
211.003,0,0,0,10,0
212.003,0,0,0,3,7
215.003,0,0,0,10,0
216.003,0,0,0,5,5
218.003,0,0,0,10,0
219.003,0,0,0,0,10
222.003,0,0,0,10,0
222.003,0,0,0,8,2
223.003,0,0,0,10,0
224.003,0,0,0,3,7
226.003,0,0,0,10,0
227.003,0,0,0,4,6
230.003,0,0,0,10,0
231.003,0,0,0,0,10
233.003,0,0,0,10,0
233.003,0,0,0,0,10
234.003,0,0,0,10,0
234.003,0,0,0,4,6
237.003,0,0,0,10,0
243.004,0,0,0,1,9
245.004,0,0,0,10,0
246.004,0,0,0,3,7
247.004,0,0,0,10,0
248.004,0,0,0,1,9
251.004,0,0,0,10,0
252.004,0,0,0,0,10
255.004,0,0,0,10,0
255.004,0,0,0,3,7
255.004,0,0,0,0,10
256.004,0,0,0,7,3
257.004,0,0,0,2,8
258.004,0,0,0,7,3
258.004,0,0,0,5,5
259.004,0,0,0,2,8
260.004,0,0,0,5,5
261.004,0,0,0,7,3
266.004,0,0,0,0,10
268.004,0,0,0,7,3
268.004,0,0,0,5,5
268.004,0,0,0,0,10
270.004,0,0,0,3,7
270.004,0,0,0,0,10
271.004,0,0,0,3,7
271.004,0,0,0,0,10
271.004,0,0,0,2,8
274.004,0,0,0,5,5
274.004,0,0,0,1,9
281.004,0,0,0,6,4
282.004,0,0,0,1,9
283.004,0,0,0,6,4
284.004,0,0,0,1,9
284.004,0,0,0,0,10
287.004,0,0,0,1,9
289.004,0,0,0,5,5
295.004,0,0,0,10,0
295.004,0,0,0,1,9
296.004,0,0,0,10,0
297.004,0,0,0,0,10
298.004,0,0,0,10,0
298.004,0,0,0,0,10
301.004,0,0,0,10,0
301.004,0,0,0,5,5
302.004,0,0,0,0,10
304.004,0,0,0,5,5
304.004,0,0,0,0,10
306.004,0,0,0,5,5
306.004,0,0,0,3,7
307.004,0,0,0,2,8
307.004,0,0,0,0,10
312.004,0,0,0,5,5
312.004,0,0,0,0,10
313.004,0,0,0,5,5
313.004,0,0,0,3,7
316.004,0,0,0,5,5
319.004,0,0,0,6,4
320.004,0,0,0,8,2
320.004,0,0,0,0,10
321.004,0,0,0,2,8
321.004,0,0,0,10,0
322.004,0,0,0,0,10
323.004,0,0,0,10,0
323.004,0,0,0,0,10
325.004,0,0,0,10,0
325.004,0,0,0,3,7
327.004,0,0,0,10,0
328.004,0,0,0,0,10
329.004,0,0,0,10,0
329.004,0,0,0,8,2
329.004,0,0,0,5,5
329.004,0,0,0,0,10
330.004,0,0,0,5,5
330.005,0,0,0,2,8
330.005,0,0,0,1,9
330.005,0,0,0,0,10
331.004,0,0,0,3,7
331.005,0,0,0,4,6
332.004,0,0,0,6,4
332.005,0,0,0,1,9
333.005,0,0,0,4,6
333.005,0,0,0,5,5
334.005,0,0,0,0,10
336.005,0,0,0,5,5
336.005,0,0,0,3,7
339.005,0,0,0,5,5
340.005,0,0,0,0,10
341.005,0,0,0,5,5
341.005,0,0,0,0,10
343.005,0,0,0,5,5
346.005,0,0,0,1,9
347.005,0,0,0,6,4
347.005,0,0,0,0,10
348.005,0,0,0,4,6
349.005,0,0,0,10,0
350.005,0,0,0,0,10
352.005,0,0,0,10,0
352.005,0,0,0,0,10
365.005,0,0,0,10,0
365.005,0,0,0,6,4
367.005,0,0,0,10,0
368.005,0,0,0,6,4
369.005,0,0,0,10,0
370.005,0,0,0,0,10
372.005,0,0,0,10,0
384.005,0,0,0,0,10
394.005,0,0,0,10,0
394.005,0,0,0,3,7
394.005,0,0,0,2,8
395.005,0,0,0,3,7
396.005,0,0,0,10,0
397.005,0,0,0,1,9
398.005,0,0,0,0,10
400.005,0,0,0,9,1
400.005,0,0,0,10,0
400.005,0,0,0,3,7
403.005,0,0,0,10,0
404.005,0,0,0,1,9
407.005,0,0,0,10,0
408.005,0,0,0,2,8
410.005,0,0,0,10,0
411.005,0,0,0,1,9
411.005,0,0,0,0,10
414.005,0,0,0,9,1
414.005,0,0,0,10,0
414.005,0,0,0,2,8
415.005,0,0,0,0,10
417.005,0,0,0,8,2
417.005,0,0,0,6,4
417.005,0,0,0,5,5
417.005,0,0,0,2,8
418.005,0,0,0,4,6
418.005,0,0,0,2,8
418.005,0,0,0,5,5
419.005,0,0,0,7,3
419.005,0,0,0,3,7
420.005,0,0,0,5,5
420.005,0,0,0,0,10
421.005,0,0,0,4,6
422.005,0,0,0,9,1
422.005,0,0,0,6,4
425.005,0,0,0,9,1
426.006,0,0,0,1,9
427.005,0,0,0,2,8
429.006,0,0,0,10,0
430.006,0,0,0,3,7
433.006,0,0,0,10,0
434.006,0,0,0,1,9
436.006,0,0,0,10,0
437.006,0,0,0,0,10
438.006,0,0,0,10,0
438.006,0,0,0,2,8
438.006,0,0,0,1,9
440.006,0,0,0,2,8
451.006,0,0,0,10,0
451.006,0,0,0,1,9
454.006,0,0,0,10,0
455.006,0,0,0,4,6
457.006,0,0,0,10,0
458.006,0,0,0,1,9
461.006,0,0,0,10,0
462.006,0,0,0,0,10
464.006,0,0,0,10,0
464.006,0,0,0,2,8
464.006,0,0,0,0,10
466.006,0,0,0,2,8
468.006,0,0,0,1,9
469.006,0,0,0,2,8
477.006,0,0,0,1,9
478.006,0,0,0,9,1
478.006,0,0,0,0,10
480.006,0,0,0,1,9
480.006,0,0,0,10,0
481.006,0,0,0,6,4
481.006,0,0,0,0,10
483.006,0,0,0,6,4
483.006,0,0,0,4,6
483.006,0,0,0,1,9
486.006,0,0,0,3,7
487.006,0,0,0,0,10
488.006,0,0,0,3,7
488.006,0,0,0,0,10
489.006,0,0,0,3,7
490.006,0,0,0,2,8
492.006,0,0,0,6,4
492.006,0,0,0,1,9
493.006,0,0,0,4,6
493.006,0,0,0,0,10
495.006,0,0,0,5,5
495.006,0,0,0,9,1
496.007,0,0,0,0,10
502.006,0,0,0,1,9
509.007,0,0,0,10,0
509.007,0,0,0,6,4
509.007,0,0,0,4,6
510.007,0,0,0,8,2
510.007,0,0,0,10,0
511.007,0,0,0,3,7
512.007,0,0,0,10,0
513.007,0,0,0,2,8
514.007,0,0,0,10,0
515.007,0,0,0,5,5
516.007,0,0,0,0,10
519.007,0,0,0,5,5
519.007,0,0,0,1,9
522.007,0,0,0,5,5
527.007,0,0,0,10,0
527.007,0,0,0,4,6
529.007,0,0,0,10,0
530.007,0,0,0,2,8
533.007,0,0,0,10,0
534.007,0,0,0,2,8
537.007,0,0,0,10,0
538.007,0,0,0,4,6
540.007,0,0,0,10,0
541.007,0,0,0,0,10
542.007,0,0,0,10,0
542.007,0,0,0,3,7
545.007,0,0,0,10,0
546.007,0,0,0,3,7
559.007,0,0,0,10,0
559.007,0,0,0,0,10
560.007,0,0,0,10,0
560.007,0,0,0,0,10
561.007,0,0,0,10,0
561.007,0,0,0,4,6
562.007,0,0,0,10,0
563.007,0,0,0,1,9
575.007,0,0,0,10,0
575.008,0,0,0,4,6
576.008,0,0,0,10,0
