time,energy,event_type,wattmin,epower
1.00008,1500.11,s,2100,1500
1.00009,1500.14,s,2100,1800
3.00008,5220.11,e,2100,1860
3.00008,5220.11,s,2100,1587.2
3.00009,5220.14,e,2100,1740
5.00011,8580.16,s,2100,1680
8.00015,14340.2,s,2100,1920
10.0001,18420.2,e,2100,2040
15.0001,28020.1,e,2100,1920
15.0003,28020.4,s,2100,1740
16.0003,30060.4,e,2100,2040
19.0001,35280.2,e,2100,1740
19.0003,35280.5,s,2100,1500
25.0004,47160.6,s,2100,1980
33.0003,63960.5,e,2100,2100
33.0003,63960.5,s,2100,1620
33.0003,63960.5,s,2100,1800
33.0004,63960.5,s,2100,2040
35.0003,68160.5,e,2100,2100
35.0003,68160.5,e,2100,1920
35.0003,68160.5,s,2100,NA
35.0004,68160.6,s,2100,1860
36.0004,70200.5,e,2100,2040
36.0004,70200.6,e,2100,1980
37.0003,72060.5,e,2100,1860
37.0004,72060.6,e,2100,1680
38.0004,73560.7,s,2100,1500
39.0004,75600.7,e,2100,2040
39.0004,75600.7,s,2100,NA
40.0005,77160.7,s,2100,1560
41.0005,79200.7,e,2100,2040
42.0004,80760.7,e,2100,1560
42.0005,80760.8,s,2100,1500
42.0005,80760.8,s,2100,1860
44.0005,84960.8,e,2100,2100
44.0005,84960.8,s,2100,1740
47.0005,91260.8,e,2100,2100
47.0006,91260.8,s,2100,1740
48.0006,93240.8,s,2100,1980
49.0006,95340.8,e,2100,2100
50.0006,97200.9,s,2100,1860
51.0006,99240.8,e,2100,2040
51.0006,99240.9,e,2100,1920
51.0006,99240.9,s,2100,1740
52.0006,101041,s,2100,1800
54.0006,105241,e,2100,2100
55.0005,107281,e,2100,2040
55.0006,107281,e,2100,1800
56.0007,108781,s,2100,1500
57.0007,110701,e,2100,1920
58.0007,112201,s,2100,1500
58.0007,112201,s,2100,1980
59.0007,114241,e,2100,2040
60.0007,116221,e,2100,1980
61.0007,117721,s,2100,1500
61.0008,117721,s,2100,1800
62.0008,119701,e,2100,1980
63.0007,121501,e,2100,1800
63.0008,121501,s,2100,1500
64.0008,123241,s,2100,1740
66.0008,127321,e,2100,2040
66.0008,127321,e,2100,1800
67.0008,128821,s,2100,1500
68.0008,130921,e,2100,2100
68.0009,130921,s,2100,1500
70.0009,134881,s,2100,1980
71.0009,136981,e,2100,2100
71.0009,136981,e,2100,1620
71.0009,136981,s,2100,1500
72.0009,138901,e,2100,1920
73.0009,140401,s,2100,1500
74.0009,142441,e,2100,2040
75.0009,143941,s,2100,1500
75.001,143941,s,2100,1740
76.0009,145921,e,2100,1980
77.001,147661,s,2100,1740
80.001,153961,e,2100,2100
81.001,155702,s,2100,1740
82.001,157682,e,2100,1980
83.001,159422,s,2100,1740
84.001,161522,e,2100,2100
84.0011,161522,s,2100,1740
90.001,173761,e,2100,2040
90.0011,173762,s,2100,1800
90.0011,173762,s,2100,1980
93.0011,180062,e,2100,2100
