time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,9,1
1.00003,0,0,0,0,10
1.00006,0,0,0,1,9
11.0002,0,0,0,0,10
14,0,0,0,9,1
14.0001,0,0,0,3,7
15.0001,0,0,0,9,1
16.0001,0,0,0,2,8
19.0001,0,0,0,9,1
21.0002,0,0,0,10,0
23.0002,0,0,0,3,7
25.0002,0,0,0,10,0
25.0002,0,0,0,8,2
26.0002,0,0,0,10,0
26.0002,0,0,0,5,5
26.0003,0,0,0,4,6
28.0003,0,0,0,2,8
29.0002,0,0,0,7,3
29.0003,0,0,0,8,2
33.0003,0,0,0,0,10
34.0003,0,0,0,8,2
35.0004,0,0,0,0,10
36.0004,0,0,0,8,2
36.0004,0,0,0,6,4
36.0004,0,0,0,3,7
38.0003,0,0,0,5,5
41.0005,0,0,0,1,9
49.0004,0,0,0,4,6
50.0006,0,0,0,2,8
51.0004,0,0,0,4,6
51.0006,0,0,0,6,4
54.0007,0,0,0,3,7
55.0007,0,0,0,6,4
56.0005,0,0,0,10,0
56.0007,0,0,0,0,10
67.0007,0,0,0,10,0
67.0007,0,0,0,7,3
67.0007,0,0,0,5,5
67.0007,0,0,0,1,9
68.0007,0,0,0,4,6
70.0007,0,0,0,8,2
71.0008,0,0,0,1,9
81.0007,0,0,0,3,7
83.0008,0,0,0,10,0
83.0009,0,0,0,3,7
85.0009,0,0,0,10,0
86.001,0,0,0,0,10
89.001,0,0,0,10,0
89.001,0,0,0,0,10
91.001,0,0,0,10,0
91.001,0,0,0,6,4
93.001,0,0,0,10,0
94.0011,0,0,0,3,7
103.001,0,0,0,2,8
103.001,0,0,0,0,10
106.001,0,0,0,2,8
108.001,0,0,0,9,1
108.001,0,0,0,6,4
108.001,0,0,0,1,9
110.001,0,0,0,4,6
110.001,0,0,0,9,1
114.001,0,0,0,3,7
116.001,0,0,0,9,1
117.001,0,0,0,10,0
117.001,0,0,0,3,7
118.001,0,0,0,10,0
119.001,0,0,0,2,8
120.001,0,0,0,10,0
121.001,0,0,0,3,7
124.001,0,0,0,10,0
125.002,0,0,0,2,8
126.002,0,0,0,10,0
127.002,0,0,0,0,10
128.002,0,0,0,10,0
128.002,0,0,0,4,6
129.002,0,0,0,10,0
130.002,0,0,0,0,10
131.002,0,0,0,10,0
131.002,0,0,0,0,10
133.002,0,0,0,10,0
133.002,0,0,0,0,10
135.002,0,0,0,10,0
135.002,0,0,0,4,6
137.002,0,0,0,2,8
140.002,0,0,0,4,6
142.002,0,0,0,3,7
142.002,0,0,0,1,9
145.002,0,0,0,2,8
149.002,0,0,0,8,2
149.002,0,0,0,2,8
152.002,0,0,0,8,2
153.002,0,0,0,2,8
157.002,0,0,0,4,6
162.002,0,0,0,1,9
164.002,0,0,0,7,3
164.002,0,0,0,0,10
165.002,0,0,0,7,3
165.002,0,0,0,5,5
165.002,0,0,0,2,8
167.002,0,0,0,5,5
168.002,0,0,0,7,3
168.002,0,0,0,2,8
170.002,0,0,0,7,3
170.002,0,0,0,1,9
171.002,0,0,0,7,3
172.002,0,0,0,10,0
172.002,0,0,0,1,9
175.002,0,0,0,10,0
176.002,0,0,0,2,8
187.002,0,0,0,10,0
187.002,0,0,0,6,4
188.002,0,0,0,10,0
188.002,0,0,0,4,6
202.002,0,0,0,10,0
206.003,0,0,0,3,7
208.003,0,0,0,10,0
209.003,0,0,0,2,8
210.003,0,0,0,10,0
211.003,0,0,0,1,9
211.003,0,0,0,0,10
214.003,0,0,0,9,1
214.003,0,0,0,0,10
216.003,0,0,0,9,1
216.003,0,0,0,0,10
218.003,0,0,0,9,1
220.003,0,0,0,6,4
221.003,0,0,0,9,1
222.003,0,0,0,10,0
226.003,0,0,0,4,6
227.003,0,0,0,10,0
228.003,0,0,0,7,3
231.003,0,0,0,10,0
232.003,0,0,0,1,9
242.003,0,0,0,10,0
243.003,0,0,0,4,6
249.003,0,0,0,1,9
252.003,0,0,0,4,6
254.003,0,0,0,10,0
254.003,0,0,0,0,10
257.003,0,0,0,10,0
258.003,0,0,0,2,8
260.003,0,0,0,10,0
261.003,0,0,0,2,8
261.004,0,0,0,1,9
262.003,0,0,0,9,1
263.004,0,0,0,1,9
265.004,0,0,0,9,1
266.004,0,0,0,1,9
266.004,0,0,0,0,10
267.004,0,0,0,8,2
267.004,0,0,0,1,9
268.004,0,0,0,8,2
269.004,0,0,0,0,10
270.004,0,0,0,8,2
270.004,0,0,0,4,6
271.004,0,0,0,5,5
271.004,0,0,0,3,7
273.004,0,0,0,7,3
273.004,0,0,0,9,1
274.004,0,0,0,1,9
276.004,0,0,0,9,1
277.004,0,0,0,2,8
279.004,0,0,0,9,1
280.004,0,0,0,4,6
280.004,0,0,0,1,9
281.004,0,0,0,2,8
292.004,0,0,0,5,5
294.004,0,0,0,10,0
294.004,0,0,0,1,9
294.004,0,0,0,0,10
295.004,0,0,0,1,9
296.004,0,0,0,10,0
296.004,0,0,0,4,6
299.004,0,0,0,10,0
300.004,0,0,0,2,8
301.004,0,0,0,0,10
302.004,0,0,0,2,8
303.004,0,0,0,10,0
304.004,0,0,0,3,7
304.004,0,0,0,0,10
306.004,0,0,0,7,3
306.004,0,0,0,5,5
306.004,0,0,0,1,9
307.004,0,0,0,4,6
307.004,0,0,0,8,2
308.004,0,0,0,6,4
308.004,0,0,0,1,9
309.004,0,0,0,3,7
310.004,0,0,0,8,2
310.004,0,0,0,5,5
311.004,0,0,0,7,3
311.004,0,0,0,5,5
312.004,0,0,0,7,3
314.004,0,0,0,0,10
317.004,0,0,0,7,3
317.004,0,0,0,0,10
319.004,0,0,0,7,3
319.004,0,0,0,1,9
320.004,0,0,0,4,6
320.004,0,0,0,0,10
321.004,0,0,0,4,6
321.004,0,0,0,0,10
322.004,0,0,0,4,6
324.004,0,0,0,2,8
