time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
3.00006,6300.09,e,2100,2100
3.00009,6300.14,s,2100,1500
5.00012,10140.2,s,2100,1920
6.00009,12120.1,e,2100,1980
6.00012,12120.2,e,2100,1560
7.00015,13620.2,s,2100,1500
8.00015,15540.2,e,2100,1920
10.0002,18540.3,s,2100,1500
12.0002,22500.3,e,2100,1980
13.0002,24000.3,s,2100,1500
16.0002,30300.3,e,2100,2100
16.0003,30300.4,s,2100,1500
16.0003,30300.4,s,2100,1800
17.0003,32220.4,e,2100,1920
18.0003,33840.4,s,2100,1620
19.0003,35820.4,e,2100,1980
21.0003,39540.4,e,2100,1860
22.0003,41040.5,s,2100,1500
22.0003,41040.5,s,2100,1920
23.0003,43140.5,e,2100,2100
23.0004,43140.5,s,2100,1680
23.0004,43140.6,s,2100,1740
24.0004,45180.5,e,2100,2040
25.0003,47160.5,e,2100,1980
25.0004,47160.6,e,2100,1800
26.0004,48660.6,s,2100,1500
27.0004,50400.6,s,2100,1740
29.0004,54480.6,e,2100,2040
29.0004,54480.7,s,2100,1740
31.0004,58080.7,e,2100,1800
31.0005,58080.8,s,2100,1740
33.0005,62280.8,e,2100,2100
33.0005,62280.8,s,2100,1740
33.0005,62280.8,s,2100,1800
34.0005,64380.8,e,2100,2100
34.0005,64380.8,s,2100,1800
34.0006,64380.9,s,2100,1920
35.0005,66480.8,e,2100,2100
36.0005,68460.8,e,2100,1980
37.0006,70380.9,e,2100,1920
38.0006,72121,s,2100,1740
39.0006,74041,s,2100,1920
40.0004,76020.6,e,2100,1980
40.0006,76020.9,e,2100,1740
50.0006,92820.9,e,2100,1680
50.0008,92821.2,s,2100,1500
51.0008,94741.2,e,2100,1920
51.0008,94741.2,s,2100,NA
51.0008,94741.3,s,2100,1680
52.0008,96661.2,e,2100,1920
52.0008,96661.3,e,2100,1740
52.0008,96661.3,s,2100,NA
55.0009,102241,s,2100,1860
58.001,108002,s,2100,1920
61.001,114122,e,2100,2040
64.0008,119881,e,2100,1920
64.0011,119882,s,2100,1560
67.0009,126001,e,2100,2040
79.0011,149762,e,2100,1980
79.0013,149762,s,2100,1500
81.0013,153602,s,2100,1920
82.0013,155702,e,2100,2100
82.0013,155702,s,2100,1920
85.0013,161642,e,2100,1980
88.0014,167402,s,2100,1920
89.0013,169382,e,2100,1980
89.0014,169382,s,2100,1560
92.0014,175142,e,2100,1920
93.0015,176702,s,2100,1560
99.0014,188582,e,2100,1980
102.002,194343,s,2100,1920
105.002,200463,e,2100,2040
107.002,204302,e,2100,1920
107.002,204303,s,2100,1500
121.002,233703,e,2100,2100
121.002,233703,s,2100,1500
121.002,233703,s,2100,1860
122.002,235623,e,2100,1920
123.002,237483,e,2100,1860
124.002,238983,s,2100,1500
126.002,243183,e,2100,2100
126.002,243183,s,2100,1500
128.002,247383,e,2100,2100
128.002,247383,s,2100,1500
130.002,251103,e,2100,1860
131.002,252603,s,2100,1500
131.002,252603,s,2100,1860
132.002,254523,e,2100,1920
133.002,256083,s,2100,1560
134.002,258123,e,2100,2040
134.002,258123,e,2100,1980
135.002,259623,s,2100,1500
138.002,265923,e,2100,2100
138.002,265923,s,2100,1500
138.002,265923,s,2100,1800
138.002,265923,s,2100,2040
139.002,268023,e,2100,2100
139.002,268023,s,2100,1800
140.002,270123,e,2100,2100
141.002,272163,e,2100,2040
142.002,273963,e,2100,1800
142.002,273963,s,2100,1500
145.002,280083,e,2100,2040
146.002,281583,s,2100,1500
156.002,301983,e,2100,2040
156.002,301983,s,2100,1500
157.002,303963,e,2100,1980
158.002,305463,s,2100,1500
160.002,309423,e,2100,1980
161.002,310923,s,2100,1500
161.002,310923,s,2100,1680
162.002,313023,e,2100,2100
162.002,313023,s,2100,1920
164.002,317223,e,2100,2100
164.002,317223,s,2100,1680
165.002,319203,e,2100,1980
165.002,319203,e,2100,1800
166.002,320703,s,2100,1500
169.002,327003,e,2100,2100
169.002,327004,s,2100,1500
170.002,328864,e,2100,1860
171.002,330364,s,2100,1500
172.002,332344,e,2100,1980
173.002,333844,s,2100,1500
173.002,333844,s,2100,1920
176.002,340144,e,2100,2100
176.002,340144,s,2100,1680
188.002,365344,e,2100,2100
189.002,367264,e,2100,1920
190.002,368764,s,2100,1500
193.002,374884,e,2100,2040
194.003,376384,s,2100,1500
194.003,376384,s,2100,1680
195.003,378424,e,2100,2040
197.003,382144,s,2100,1860
199.003,386344,e,2100,2100
199.003,386344,s,2100,1860
200.003,388264,s,2100,1920
200.003,388264,s,2100,2040
201.003,390364,e,2100,2100
201.003,390364,e,2100,NA
202.003,392284,s,2100,1920
206.003,400684,e,2100,2100
206.003,400684,s,2100,1740
209.003,406984,e,2100,2100
209.003,406984,s,2100,1740
209.003,406984,s,2100,1920
212.003,413104,e,2100,2040
213.003,415024,e,2100,1920
213.003,415024,s,2100,1740
214.003,416884,e,2100,1860
215.003,418684,e,2100,1800
215.003,418684,s,2100,1680
216.003,420664,e,2100,1980
217.003,422344,s,2100,1680
220.003,428644,e,2100,2100
220.003,428644,s,2100,1680
222.003,432724,e,2100,2040
223.003,434404,e,2100,1680
223.003,434404,s,2100,1500
226.003,440704,e,2100,2100
226.003,440704,s,2100,1500
226.003,440704,s,2100,1800
227.003,442624,e,2100,1920
228.003,444424,e,2100,1800
229.003,445924,s,2100,1500
229.003,445924,s,2100,1980
229.003,445924,s,2100,2040
231.003,450124,e,2100,2100
231.003,450124,e,2100,2040
236.003,460024,s,2100,1980
238.003,464224,e,2100,2100
241.003,470164,e,2100,1980
241.003,470165,s,2100,1500
243.003,474005,e,2100,1920
244.003,475505,s,2100,1500
244.003,475505,s,2100,1980
246.003,479585,e,2100,2040
247.003,481145,e,2100,1560
247.003,481145,s,2100,1500
247.003,481145,s,2100,1740
248.003,483125,s,2100,1980
249.003,485225,e,2100,2100
249.003,485225,e,2100,1980
250.003,486965,s,2100,1740
253.003,493265,e,2100,2100
253.003,493265,s,2100,1740
255.003,497465,e,2100,2100
255.003,497465,s,2100,1740
262.003,511745,e,2100,2040
262.003,511745,s,2100,1800
266.003,519665,e,2100,1980
266.003,519665,s,2100,1680
267.003,521765,e,2100,2100
267.003,521765,s,2100,1680
269.003,525845,e,2100,2040
270.003,527525,s,2100,1680
271.003,529625,e,2100,2100
271.003,529625,s,2100,1680
271.003,529625,s,2100,1920
272.003,531725,e,2100,2100
272.003,531725,s,2100,1860
273.003,533825,e,2100,2100
274.003,535745,e,2100,1920
275.003,537425,e,2100,1680
275.003,537425,s,2100,1500
275.003,537425,s,2100,1980
276.003,539525,e,2100,2100
276.003,539525,s,2100,1620
278.003,543725,e,2100,2100
291.003,569465,e,2100,1980
291.004,569466,s,2100,1500
294.004,575766,e,2100,2100
294.004,575766,s,2100,1500
296.004,579966,e,2100,2100
296.004,579966,s,2100,1500
298.004,584166,e,2100,2100
298.004,584166,s,2100,1500
301.004,590286,e,2100,2040
302.004,591786,s,2100,1500
303.004,593826,e,2100,2040
304.004,595326,s,2100,1500
306.004,599526,e,2100,2100
306.004,599526,s,2100,1500
306.004,599526,s,2100,1620
306.004,599526,s,2100,1860
307.004,601446,e,2100,1920
307.004,601446,e,2100,1800
309.004,604926,e,2100,1740
310.004,606426,s,2100,1500
313.004,612726,e,2100,2100
313.004,612726,s,2100,1500
314.004,614766,e,2100,2040
315.004,616266,s,2100,1500
316.004,618186,s,2100,1920
318.004,622266,e,2100,2040
319.004,623886,s,2100,1620
327.004,640206,e,2100,2040
330.004,645966,e,2100,1920
330.004,645966,s,2100,1500
330.004,645966,s,2100,1800
331.004,648066,e,2100,2100
336.004,657066,s,2100,1800
337.004,659106,s,2100,2040
338.004,661206,e,2100,2100
341.004,666786,e,2100,1860
341.004,666787,s,2100,1560
343.004,670747,e,2100,1980
344.004,672307,s,2100,1560
345.004,674347,e,2100,2040
346.004,675907,s,2100,1560
346.004,675907,s,2100,2040
348.004,680107,e,2100,2100
348.004,680107,s,2100,1620
349.004,682087,e,2100,1980
350.004,684006,e,2100,1920
350.004,684007,e,2100,1860
351.004,685507,s,2100,1500
353.004,689707,e,2100,2100
353.005,689707,s,2100,1500
354.005,691807,e,2100,2100
354.005,691807,s,2100,1500
357.005,698107,e,2100,2100
357.005,698107,s,2100,1500
357.005,698107,s,2100,1980
359.005,702187,e,2100,2040
359.005,702187,e,2100,1560
360.005,703687,s,2100,1500
362.005,707647,e,2100,1980
363.005,709147,s,2100,1500
365.005,713227,s,2100,2040
376.005,736327,e,2100,2100
376.005,736327,s,2100,1560
376.005,736327,s,2100,1620
377.005,738067,e,2100,1740
377.005,738067,e,2100,1680
378.005,739627,e,2100,1560
378.005,739627,s,2100,1500
380.005,743467,e,2100,1920
381.005,744967,s,2100,1500
384.005,750727,e,2100,1920
385.005,752227,s,2100,1500
399.005,780787,e,2100,2040
399.005,780788,s,2100,1500
401.005,784868,e,2100,2040
402.005,786368,s,2100,1500
404.005,790448,e,2100,2040
405.005,791948,s,2100,1500
405.005,791948,s,2100,1680
406.005,793808,e,2100,1860
411.005,802208,s,2100,1680
419.005,819008,e,2100,2100
419.005,819008,s,2100,1920
420.005,821048,e,2100,2040
421.005,822968,s,2100,1920
424.005,829088,e,2100,2040
426.005,832928,e,2100,1920
426.005,832928,s,2100,1500
