time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
1.00003,1620.04,s,2100,1620
2.00006,3480.1,e,2100,1860
3.00008,5220.12,s,2100,1740
4.00003,7260.03,e,2100,2040
5.00008,9060.11,e,2100,1800
5.00011,9060.16,s,2100,1500
6.00012,10740.2,s,2100,1680
7.00012,12780.2,e,2100,2040
8.0001,14460.2,e,2100,1680
8.00015,14460.2,s,2100,1500
11.0001,19860.2,e,2100,1800
11.0002,19860.3,s,2100,1500
13.0002,23220.3,e,2100,1680
14.0002,24720.4,s,2100,1500
16.0002,28800.4,e,2100,2040
17.0003,30300.4,s,2100,1500
22.0003,40500.5,s,2100,2040
23.0003,42600.5,e,2100,2100
28.0003,52800.4,e,2100,2040
28.0005,52800.7,s,2100,1500
29.0005,54540.7,s,2100,1740
29.0005,54540.7,s,2100,1860
31.0005,58740.7,e,2100,2100
31.0005,58740.8,s,2100,1860
32.0005,60780.7,e,2100,2040
33.0005,62700.8,e,2100,1920
33.0005,62700.8,s,2100,1740
34.0006,64620.9,s,2100,1920
35.0006,66720.9,e,2100,2100
36.0005,68640.8,e,2100,1920
36.0006,68640.9,s,2100,1740
37.0006,70620.9,e,2100,1980
42.0004,79320.7,e,2100,1740
42.0007,79321,s,2100,1500
54.0007,104521,e,2100,2100
54.0007,104521,s,2100,1500
58.0007,112681,s,2100,2040
64.0007,125281,e,2100,2100
64.0007,125281,s,2100,1560
71.0008,139561,e,2100,2040
76.0007,149461,e,2100,1980
76.0009,149461,s,2100,1500
77.0009,151381,e,2100,1920
78.0009,152881,s,2100,1500
88.0009,173881,e,2100,2100
88.0009,173881,s,2100,1500
89.0009,175981,e,2100,2100
89.001,175981,s,2100,1500
92.001,182101,e,2100,2040
93.001,183602,s,2100,1500
95.001,187202,e,2100,1800
96.0011,188702,s,2100,1500
97.0011,190742,e,2100,2040
98.0011,192242,s,2100,1500
110.001,216722,e,2100,2040
110.001,216722,s,2100,1500
110.001,216722,s,2100,1680
112.001,220802,e,2100,2040
113.001,222482,e,2100,1680
113.001,222482,s,2100,1500
114.001,224402,s,2100,1920
115.001,226502,e,2100,2100
116.001,228422,e,2100,1920
116.001,228422,s,2100,1500
119.001,234362,e,2100,1980
120.001,235862,s,2100,1500
132.001,261062,e,2100,2100
132.001,261062,s,2100,1500
133.001,262922,e,2100,1860
134.002,264422,s,2100,1500
140.002,276662,s,2100,2040
143.002,282962,e,2100,2100
145.002,287042,e,2100,2040
145.002,287042,s,2100,1500
148.002,293342,e,2100,2100
148.002,293342,s,2100,1500
148.002,293343,s,2100,1920
149.002,295442,e,2100,2100
151.002,298802,e,2100,1680
152.002,300303,s,2100,1500
164.002,325503,e,2100,2100
164.002,325503,s,2100,1500
165.002,327483,e,2100,1980
