time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,2,8
1.00006,0,0,0,10,0
2.00008,0,0,0,5,5
3.00008,0,0,0,10,0
3.00009,0,0,0,8,2
4.00011,0,0,0,1,9
5.00011,0,0,0,8,2
6.00009,0,0,0,10,0
7.00014,0,0,0,0,10
10.0001,0,0,0,10,0
10.0002,0,0,0,1,9
13.0002,0,0,0,10,0
14.0002,0,0,0,0,10
15.0002,0,0,0,10,0
15.0002,0,0,0,4,6
16.0002,0,0,0,10,0
16.0002,0,0,0,6,4
16.0003,0,0,0,4,6
17.0002,0,0,0,8,2
17.0003,0,0,0,1,9
20.0003,0,0,0,8,2
20.0003,0,0,0,7,3
20.0004,0,0,0,2,8
21.0004,0,0,0,0,10
22.0003,0,0,0,1,9
24.0004,0,0,0,3,7
25.0004,0,0,0,0,10
26.0003,0,0,0,2,8
31.0004,0,0,0,0,10
32.0004,0,0,0,5,5
32.0004,0,0,0,2,8
33.0004,0,0,0,4,6
34.0004,0,0,0,0,10
36.0004,0,0,0,3,7
36.0004,0,0,0,0,10
45.0004,0,0,0,3,7
47.0005,0,0,0,0,10
48.0004,0,0,0,4,6
49.0005,0,0,0,0,10
50.0004,0,0,0,3,7
51.0004,0,0,0,6,4
51.0005,0,0,0,1,9
54.0005,0,0,0,6,4
55.0005,0,0,0,1,9
55.0006,0,0,0,0,10
58.0005,0,0,0,5,5
59.0006,0,0,0,0,10
64.0004,0,0,0,4,6
64.0005,0,0,0,1,9
67.0005,0,0,0,4,6
67.0006,0,0,0,5,5
69.0005,0,0,0,0,10
69.0006,0,0,0,5,5
70.0006,0,0,0,4,6
72.0006,0,0,0,5,5
73.0007,0,0,0,2,8
73.0007,0,0,0,1,9
74.0007,0,0,0,2,8
76.0007,0,0,0,5,5
79.0005,0,0,0,10,0
79.0008,0,0,0,2,8
81.0008,0,0,0,10,0
82.0008,0,0,0,2,8
85.0008,0,0,0,10,0
86.0008,0,0,0,0,10
100.001,0,0,0,10,0
100.001,0,0,0,2,8
103.001,0,0,0,10,0
104.001,0,0,0,7,3
104.001,0,0,0,0,10
105.001,0,0,0,3,7
105.001,0,0,0,0,10
106.001,0,0,0,7,3
106.001,0,0,0,0,10
108.001,0,0,0,7,3
108.001,0,0,0,1,9
