time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,6,4
1.00003,0,0,0,2,8
2.00003,0,0,0,6,4
3.00008,0,0,0,3,7
6.00008,0,0,0,6,4
7.00012,0,0,0,0,10
8.00012,0,0,0,6,4
9.00017,0,0,0,3,7
10.0002,0,0,0,2,8
11.0002,0,0,0,5,5
12.0002,0,0,0,0,10
13.0002,0,0,0,1,9
13.0002,0,0,0,6,4
14.0001,0,0,0,10,0
14.0002,0,0,0,2,8
15.0002,0,0,0,10,0
16.0003,0,0,0,3,7
19.0003,0,0,0,10,0
20.0003,0,0,0,1,9
21.0003,0,0,0,10,0
22.0003,0,0,0,3,7
24.0004,0,0,0,0,10
25.0003,0,0,0,7,3
25.0004,0,0,0,2,8
26.0004,0,0,0,7,3
27.0004,0,0,0,10,0
27.0004,0,0,0,3,7
31.0005,0,0,0,1,9
32.0005,0,0,0,3,7
40.0004,0,0,0,10,0
40.0006,0,0,0,0,10
41.0006,0,0,0,10,0
41.0006,0,0,0,6,4
41.0007,0,0,0,2,8
42.0006,0,0,0,6,4
42.0007,0,0,0,10,0
43.0007,0,0,0,2,8
44.0007,0,0,0,10,0
45.0007,0,0,0,6,4
45.0007,0,0,0,1,9
47.0007,0,0,0,5,5
48.0007,0,0,0,10,0
48.0007,0,0,0,6,4
50.0008,0,0,0,2,8
51.0007,0,0,0,6,4
53.0008,0,0,0,10,0
54.0008,0,0,0,1,9
55.0008,0,0,0,10,0
56.0009,0,0,0,9,1
56.0009,0,0,0,3,7
57.0009,0,0,0,4,6
59.0009,0,0,0,10,0
60.0009,0,0,0,1,9
63.0009,0,0,0,10,0
63.001,0,0,0,9,1
63.001,0,0,0,5,5
63.001,0,0,0,3,7
65.001,0,0,0,4,6
65.001,0,0,0,8,2
65.001,0,0,0,10,0
66.001,0,0,0,0,10
78.001,0,0,0,10,0
78.0011,0,0,0,1,9
81.0011,0,0,0,10,0
82.0011,0,0,0,1,9
85.0011,0,0,0,10,0
86.0012,0,0,0,6,4
86.0012,0,0,0,2,8
88.0012,0,0,0,6,4
88.0012,0,0,0,10,0
89.0012,0,0,0,5,5
91.0012,0,0,0,10,0
91.0012,0,0,0,5,5
94.0012,0,0,0,10,0
94.0013,0,0,0,4,6
96.0014,0,0,0,1,9
99.0014,0,0,0,0,10
100.001,0,0,0,1,9
104.001,0,0,0,7,3
104.001,0,0,0,0,10
106.001,0,0,0,7,3
107.001,0,0,0,10,0
107.002,0,0,0,2,8
109.002,0,0,0,10,0
110.002,0,0,0,2,8
113.002,0,0,0,10,0
125.002,0,0,0,1,9
128.002,0,0,0,10,0
129.002,0,0,0,6,4
129.002,0,0,0,1,9
130.002,0,0,0,6,4
131.002,0,0,0,3,7
132.002,0,0,0,7,3
132.002,0,0,0,10,0
133.002,0,0,0,0,10
135.002,0,0,0,10,0
135.002,0,0,0,1,9
135.002,0,0,0,0,10
137.002,0,0,0,1,9
137.002,0,0,0,0,10
138.002,0,0,0,9,1
138.002,0,0,0,6,4
138.002,0,0,0,4,6
140.002,0,0,0,5,5
141.002,0,0,0,0,10
143.002,0,0,0,5,5
144.002,0,0,0,2,8
146.002,0,0,0,5,5
150.002,0,0,0,7,3
150.002,0,0,0,1,9
153.002,0,0,0,4,6
153.002,0,0,0,10,0
154.002,0,0,0,3,7
155.002,0,0,0,10,0
155.002,0,0,0,8,2
156.002,0,0,0,10,0
156.002,0,0,0,2,8
157.002,0,0,0,10,0
157.002,0,0,0,0,10
170.002,0,0,0,10,0
170.002,0,0,0,2,8
171.002,0,0,0,10,0
172.002,0,0,0,6,4
172.002,0,0,0,0,10
174.002,0,0,0,6,4
174.002,0,0,0,4,6
174.002,0,0,0,1,9
175.002,0,0,0,5,5
175.002,0,0,0,7,3
176.002,0,0,0,2,8
177.002,0,0,0,7,3
178.002,0,0,0,0,10
181.002,0,0,0,7,3
183.002,0,0,0,0,10
184.002,0,0,0,7,3
184.002,0,0,0,5,5
186.002,0,0,0,7,3
187.002,0,0,0,0,10
189.002,0,0,0,3,7
190.002,0,0,0,10,0
191.002,0,0,0,0,10
193.002,0,0,0,10,0
193.002,0,0,0,8,2
193.002,0,0,0,0,10
194.002,0,0,0,2,8
194.002,0,0,0,10,0
195.002,0,0,0,2,8
196.002,0,0,0,10,0
197.002,0,0,0,0,10
209.002,0,0,0,10,0
209.002,0,0,0,4,6
213.003,0,0,0,2,8
215.003,0,0,0,4,6
216.003,0,0,0,1,9
219.002,0,0,0,7,3
221.003,0,0,0,5,5
221.003,0,0,0,0,10
222.003,0,0,0,2,8
224.003,0,0,0,7,3
225.003,0,0,0,1,9
231.003,0,0,0,4,6
234.003,0,0,0,3,7
234.003,0,0,0,1,9
235.003,0,0,0,3,7
236.003,0,0,0,0,10
238.003,0,0,0,3,7
238.003,0,0,0,1,9
239.003,0,0,0,7,3
239.003,0,0,0,1,9
240.003,0,0,0,3,7
241.003,0,0,0,9,1
242.003,0,0,0,0,10
245.003,0,0,0,1,9
252.003,0,0,0,10,0
253.003,0,0,0,1,9
256.003,0,0,0,10,0
257.003,0,0,0,2,8
269.003,0,0,0,10,0
269.003,0,0,0,1,9
272.003,0,0,0,10,0
273.003,0,0,0,4,6
275.003,0,0,0,10,0
276.003,0,0,0,0,10
278.003,0,0,0,10,0
278.003,0,0,0,0,10
288.003,0,0,0,10,0
288.003,0,0,0,1,9
289.003,0,0,0,0,10
290.003,0,0,0,9,1
290.003,0,0,0,4,6
290.003,0,0,0,2,8
291.003,0,0,0,4,6
293.003,0,0,0,9,1
295.003,0,0,0,4,6
298.003,0,0,0,9,1
299.004,0,0,0,3,7
301.004,0,0,0,9,1
302.003,0,0,0,10,0
302.004,0,0,0,6,4
302.004,0,0,0,0,10
304.004,0,0,0,6,4
304.004,0,0,0,5,5
304.004,0,0,0,3,7
305.004,0,0,0,7,3
305.004,0,0,0,0,10
306.004,0,0,0,1,9
308.004,0,0,0,0,10
311.004,0,0,0,1,9
316.004,0,0,0,8,2
316.004,0,0,0,1,9
317.004,0,0,0,3,7
317.004,0,0,0,10,0
318.004,0,0,0,2,8
320.004,0,0,0,10,0
321.004,0,0,0,3,7
324.004,0,0,0,10,0
325.004,0,0,0,0,10
326.004,0,0,0,10,0
326.004,0,0,0,3,7
326.004,0,0,0,0,10
327.004,0,0,0,3,7
328.004,0,0,0,10,0
328.004,0,0,0,0,10
330.004,0,0,0,10,0
349.004,0,0,0,2,8
357.004,0,0,0,1,9
359.004,0,0,0,2,8
360.004,0,0,0,10,0
368.005,0,0,0,2,8
369.005,0,0,0,10,0
370.005,0,0,0,0,10
371.005,0,0,0,10,0
371.005,0,0,0,5,5
372.005,0,0,0,10,0
380.005,0,0,0,5,5
383.005,0,0,0,10,0
384.005,0,0,0,5,5
384.005,0,0,0,1,9
386.005,0,0,0,5,5
387.005,0,0,0,10,0
388.005,0,0,0,2,8
390.005,0,0,0,10,0
391.005,0,0,0,0,10
401.005,0,0,0,10,0
407.005,0,0,0,4,6
409.005,0,0,0,10,0
410.005,0,0,0,0,10
425.005,0,0,0,10,0
425.005,0,0,0,1,9
428.005,0,0,0,10,0
429.005,0,0,0,3,7
429.005,0,0,0,0,10
430.005,0,0,0,7,3
430.005,0,0,0,0,10
432.005,0,0,0,7,3
432.005,0,0,0,3,7
433.005,0,0,0,7,3
433.005,0,0,0,4,6
433.005,0,0,0,2,8
434.005,0,0,0,5,5
435.005,0,0,0,0,10
436.005,0,0,0,2,8
438.005,0,0,0,7,3
439.005,0,0,0,2,8
442.005,0,0,0,1,9
444.005,0,0,0,4,6
445.005,0,0,0,5,5
450.005,0,0,0,10,0
450.005,0,0,0,0,10
452.005,0,0,0,10,0
452.005,0,0,0,2,8
454.005,0,0,0,10,0
455.005,0,0,0,0,10
457.005,0,0,0,10,0
457.006,0,0,0,1,9
469.006,0,0,0,10,0
469.006,0,0,0,7,3
470.006,0,0,0,1,9
472.006,0,0,0,4,6
473.006,0,0,0,10,0
474.006,0,0,0,8,2
474.006,0,0,0,4,6
474.006,0,0,0,2,8
477.006,0,0,0,4,6
477.006,0,0,0,8,2
477.006,0,0,0,10,0
478.006,0,0,0,1,9
479.006,0,0,0,10,0
480.006,0,0,0,1,9
482.006,0,0,0,10,0
483.006,0,0,0,2,8
483.006,0,0,0,0,10
485.006,0,0,0,2,8
485.006,0,0,0,0,10
487.006,0,0,0,2,8
487.006,0,0,0,0,10
490.006,0,0,0,2,8
495.006,0,0,0,10,0
495.006,0,0,0,0,10
497.006,0,0,0,10,0
497.006,0,0,0,0,10
499.006,0,0,0,10,0
499.006,0,0,0,5,5
500.006,0,0,0,10,0
501.006,0,0,0,3,7
501.006,0,0,0,0,10
512.006,0,0,0,7,3
512.006,0,0,0,10,0
513.006,0,0,0,1,9
516.006,0,0,0,10,0
517.006,0,0,0,6,4
517.006,0,0,0,2,8
518.006,0,0,0,6,4
519.006,0,0,0,10,0
519.006,0,0,0,4,6
520.006,0,0,0,0,10
522.006,0,0,0,6,4
523.006,0,0,0,5,5
523.006,0,0,0,0,10
526.006,0,0,0,5,5
526.006,0,0,0,1,9
527.006,0,0,0,5,5
529.006,0,0,0,1,9
530.006,0,0,0,5,5
534.006,0,0,0,0,10
535.006,0,0,0,4,6
535.006,0,0,0,9,1
536.006,0,0,0,2,8
538.006,0,0,0,3,7
539.006,0,0,0,0,10
541.006,0,0,0,3,7
547.006,0,0,0,10,0
547.006,0,0,0,1,9
557.006,0,0,0,10,0
557.007,0,0,0,3,7
560.007,0,0,0,10,0
561.007,0,0,0,2,8
564.007,0,0,0,10,0
565.007,0,0,0,2,8
568.007,0,0,0,10,0
569.007,0,0,0,2,8
571.007,0,0,0,10,0
572.007,0,0,0,5,5
572.007,0,0,0,1,9
575.007,0,0,0,5,5
582.007,0,0,0,10,0
582.007,0,0,0,1,9
584.007,0,0,0,10,0
585.007,0,0,0,2,8
586.007,0,0,0,10,0
587.007,0,0,0,0,10
590.007,0,0,0,10,0
590.007,0,0,0,4,6
590.007,0,0,0,0,10
592.007,0,0,0,6,4
592.007,0,0,0,10,0
593.007,0,0,0,1,9
595.007,0,0,0,10,0
596.007,0,0,0,1,9
599.007,0,0,0,10,0
600.007,0,0,0,2,8
601.007,0,0,0,10,0
602.007,0,0,0,3,7
612.007,0,0,0,0,10
613.007,0,0,0,3,7
614.007,0,0,0,10,0
614.007,0,0,0,1,9
617.007,0,0,0,10,0
618.007,0,0,0,3,7
620.007,0,0,0,10,0
621.007,0,0,0,5,5
621.007,0,0,0,0,10
623.007,0,0,0,5,5
623.007,0,0,0,0,10
625.007,0,0,0,5,5
631.008,0,0,0,2,8
632.008,0,0,0,5,5
633.007,0,0,0,10,0
633.008,0,0,0,3,7
643.008,0,0,0,10,0
643.008,0,0,0,1,9
646.008,0,0,0,10,0
647.008,0,0,0,0,10
658.008,0,0,0,10,0
658.008,0,0,0,1,9
660.008,0,0,0,10,0
661.008,0,0,0,1,9
663.008,0,0,0,10,0
664.008,0,0,0,4,6
665.008,0,0,0,10,0
666.008,0,0,0,4,6
676.008,0,0,0,10,0
676.008,0,0,0,0,10
678.008,0,0,0,10,0
678.008,0,0,0,3,7
692.008,0,0,0,10,0
692.008,0,0,0,2,8
694.008,0,0,0,10,0
695.008,0,0,0,2,8
697.008,0,0,0,10,0
