time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
1.00003,1860.03,s,2100,1860
2.00006,3960.1,e,2100,2100
2.00008,3960.12,s,2100,1740
3.00003,5820.04,e,2100,1860
3.00003,5820.04,s,2100,1638.4
4.00003,7620.04,s,2100,1800
4.00008,7620.13,e,2100,2100
6.00006,11580.1,s,2100,1980
16,32580,e,2100,2100
16,32580.1,s,2100,1920
17,34680.1,e,2100,2100
17.0001,34680.1,s,2100,1920
17.0001,34680.1,s,2100,2040
19,38880,e,2100,2100
19,38880.1,s,2100,1800
19.0001,38880.1,e,2100,2100
19.0001,38880.2,s,2100,1980
20,40920.1,e,2100,2040
20.0001,40920.1,e,2100,1740
21.0001,42600.1,e,2100,1680
21.0001,42600.2,s,2100,1620
22.0001,44460.2,s,2100,1860
24.0001,48420.2,e,2100,1980
25.0001,50160.2,e,2100,1740
26.0002,51780.3,s,2100,1620
27.0001,53640.1,e,2100,1860
27.0002,53640.3,e,2100,1740
28.0002,55140.3,s,2100,1500
30.0002,59100.3,e,2100,1980
31.0003,60600.4,s,2100,1500
32.0003,62220.4,e,2100,1620
33.0003,63720.5,s,2100,1500
36.0003,68940.4,e,2100,1740
37.0004,70440.5,s,2100,1500
37.0004,70440.6,s,2100,1680
37.0004,70440.6,s,2100,1860
38.0004,72420.6,e,2100,1980
39.0004,74220.6,s,2100,1800
39.0004,74220.6,e,2100,2100
40.0004,76200.7,s,2100,1980
40.0004,76200.7,s,2100,2040
42.0004,80400.6,e,2100,2100
42.0004,80400.6,s,2100,1800
42.0004,80400.7,e,2100,2040
43.0004,82380.6,s,2100,1980
43.0004,82380.6,e,2100,2100
43.0004,82380.7,s,2100,2040
44.0004,84480.6,e,2100,2100
44.0004,84480.7,e,2100,1980
45.0004,86400.6,e,2100,1920
45.0004,86400.7,s,2100,1680
46.0004,88200.7,e,2100,1800
46.0005,88200.7,s,2100,1680
47.0004,89940.5,e,2100,1740
47.0005,89940.7,e,2100,1560
47.0005,89940.7,s,2100,1500
48.0005,91800.7,s,2100,1860
51.0005,98100.7,e,2100,2100
51.0005,98100.7,s,2100,1860
53.0005,102301,e,2100,2100
58.0005,111601,e,2100,1860
58.0006,111601,s,2100,1500
72.0006,140161,e,2100,2040
72.0008,140161,s,2100,1500
73.0008,142201,e,2100,2040
74.0008,143701,s,2100,1500
77.0008,150001,e,2100,2100
77.0008,150001,s,2100,1500
77.0009,150001,s,2100,1620
78.0009,152101,e,2100,2100
78.0009,152101,s,2100,1620
79.0008,154201,e,2100,2100
81.0009,158161,e,2100,1980
82.0009,159661,s,2100,1500
84.0009,163621,e,2100,1980
85.001,165121,s,2100,1500
88.001,171241,e,2100,2040
89.001,172742,s,2100,1500
90.001,174842,e,2100,2100
90.001,174842,s,2100,1500
101.001,197942,e,2100,2100
101.001,197942,s,2100,1500
112.001,221042,e,2100,2100
112.001,221042,s,2100,1500
113.001,223082,e,2100,2040
114.001,224582,s,2100,1500
114.001,224582,s,2100,1800
115.001,226562,s,2100,1980
117.001,230642,e,2100,2040
118.001,232382,e,2100,1740
118.001,232382,s,2100,1680
121.001,238502,e,2100,2040
121.001,238502,s,2100,1680
122.001,240602,e,2100,2100
122.001,240602,s,2100,1680
124.001,244562,s,2100,1980
125.001,246602,e,2100,2040
125.001,246602,e,2100,1740
126.001,248282,e,2100,1680
126.001,248282,s,2100,1500
128.001,252482,e,2100,2100
128.001,252482,s,2100,1500
128.001,252482,s,2100,1920
130.001,256682,e,2100,2100
130.001,256682,e,2100,1680
130.001,256682,s,2100,1500
131.001,258482,s,2100,1800
133.001,262682,e,2100,2100
134.001,264482,s,2100,1800
135.001,266582,e,2100,2100
135.001,266582,s,2100,1800
136.001,268682,e,2100,2100
138.001,272282,s,2100,1800
141.001,278222,e,2100,1980
143.001,281822,e,2100,1800
143.002,281822,s,2100,1500
146.002,287582,e,2100,1920
147.002,289082,s,2100,1500
158.002,311522,e,2100,2040
158.002,311523,s,2100,1500
161.002,317463,e,2100,1980
162.002,318963,s,2100,1500
163.002,320703,s,2100,1740
165.002,324543,e,2100,1920
169.002,331263,s,2100,1680
175.002,343863,e,2100,2100
177.002,347703,s,2100,1920
179.002,351663,e,2100,1980
180.002,353223,s,2100,1560
182.002,357303,e,2100,2040
183.002,358863,s,2100,1560
185.002,362943,e,2100,2040
186.002,364503,s,2100,1560
188.002,368703,e,2100,2100
197.002,387063,e,2100,2040
198.002,388563,s,2100,1500
198.002,388563,s,2100,1620
211.002,415083,e,2100,2040
