time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,6,4
2.00008,0,0,0,2,8
3.00008,0,0,0,6,4
5.00011,0,0,0,0,10
14.0001,0,0,0,4,6
14.0001,0,0,0,3,7
15.0001,0,0,0,9,1
16.0001,0,0,0,6,4
17.0001,0,0,0,7,3
18.0001,0,0,0,10,0
18.0001,0,0,0,3,7
21.0001,0,0,0,10,0
21.0002,0,0,0,1,9
22.0002,0,0,0,10,0
23.0002,0,0,0,0,10
35.0002,0,0,0,10,0
35.0003,0,0,0,2,8
36.0003,0,0,0,10,0
37.0003,0,0,0,3,7
38.0003,0,0,0,1,9
39.0003,0,0,0,3,7
40.0003,0,0,0,10,0
41.0003,0,0,0,7,3
41.0004,0,0,0,0,10
44.0003,0,0,0,3,7
44.0004,0,0,0,10,0
45.0004,0,0,0,1,9
47.0004,0,0,0,10,0
48.0004,0,0,0,1,9
51.0004,0,0,0,10,0
52.0005,0,0,0,1,9
53.0005,0,0,0,10,0
54.0005,0,0,0,6,4
54.0005,0,0,0,0,10
56.0005,0,0,0,4,6
56.0005,0,0,0,1,9
57.0005,0,0,0,7,3
58.0006,0,0,0,0,10
59.0005,0,0,0,3,7
71.0006,0,0,0,10,0
71.0007,0,0,0,0,10
72.0007,0,0,0,10,0
72.0008,0,0,0,4,6
72.0008,0,0,0,0,10
73.0008,0,0,0,6,4
73.0008,0,0,0,5,5
73.0008,0,0,0,1,9
74.0008,0,0,0,5,5
75.0008,0,0,0,9,1
75.0008,0,0,0,10,0
75.0008,0,0,0,9,1
76.0008,0,0,0,10,0
76.0008,0,0,0,5,5
76.0008,0,0,0,1,9
77.0008,0,0,0,5,5
77.0009,0,0,0,1,9
79.0008,0,0,0,6,4
79.0009,0,0,0,10,0
79.0009,0,0,0,5,5
80.0009,0,0,0,0,10
81.0009,0,0,0,5,5
81.0009,0,0,0,0,10
82.0009,0,0,0,5,5
82.0009,0,0,0,10,0
82.0009,0,0,0,6,4
83.001,0,0,0,2,8
84.0009,0,0,0,6,4
85.001,0,0,0,2,8
85.001,0,0,0,1,9
86.001,0,0,0,5,5
86.001,0,0,0,6,4
87.001,0,0,0,1,9
88.001,0,0,0,5,5
89.001,0,0,0,10,0
89.0011,0,0,0,6,4
91.0011,0,0,0,10,0
92.0011,0,0,0,2,8
93.0011,0,0,0,10,0
94.0011,0,0,0,0,10
96.0011,0,0,0,10,0
96.0011,0,0,0,2,8
97.0011,0,0,0,10,0
98.0012,0,0,0,2,8
99.0012,0,0,0,10,0
100.001,0,0,0,0,10
112.001,0,0,0,10,0
112.001,0,0,0,1,9
114.001,0,0,0,0,10
115.001,0,0,0,9,1
115.001,0,0,0,0,10
116.001,0,0,0,1,9
116.001,0,0,0,0,10
119.001,0,0,0,1,9
125.001,0,0,0,10,0
125.001,0,0,0,0,10
140.001,0,0,0,10,0
140.001,0,0,0,8,2
140.001,0,0,0,2,8
142.001,0,0,0,4,6
154.001,0,0,0,10,0
154.002,0,0,0,1,9
157.002,0,0,0,10,0
158.002,0,0,0,1,9
161.002,0,0,0,10,0
162.002,0,0,0,1,9
165.002,0,0,0,10,0
166.002,0,0,0,2,8
167.002,0,0,0,10,0
168.002,0,0,0,7,3
168.002,0,0,0,2,8
168.002,0,0,0,0,10
170.002,0,0,0,5,5
170.002,0,0,0,0,10
171.002,0,0,0,5,5
171.002,0,0,0,2,8
171.002,0,0,0,0,10
172.002,0,0,0,3,7
172.002,0,0,0,5,5
173.002,0,0,0,2,8
179.002,0,0,0,5,5
179.002,0,0,0,2,8
180.002,0,0,0,4,6
181.002,0,0,0,7,3
182.002,0,0,0,0,10
184.002,0,0,0,7,3
184.002,0,0,0,0,10
185.002,0,0,0,7,3
188.002,0,0,0,10,0
188.002,0,0,0,2,8
188.002,0,0,0,0,10
189.002,0,0,0,8,2
189.002,0,0,0,10,0
189.002,0,0,0,2,8
189.002,0,0,0,0,10
191.002,0,0,0,8,2
191.002,0,0,0,0,10
191.002,0,0,0,2,8
194.002,0,0,0,10,0
194.002,0,0,0,1,9
197.002,0,0,0,10,0
198.002,0,0,0,3,7
199.002,0,0,0,0,10
201.002,0,0,0,7,3
201.002,0,0,0,2,8
202.002,0,0,0,7,3
203.002,0,0,0,5,5
203.002,0,0,0,0,10
204.002,0,0,0,2,8
206.002,0,0,0,7,3
206.002,0,0,0,5,5
207.002,0,0,0,7,3
207.002,0,0,0,0,10
209.002,0,0,0,7,3
209.002,0,0,0,1,9
212.002,0,0,0,7,3
214.002,0,0,0,10,0
214.002,0,0,0,0,10
217.002,0,0,0,10,0
217.002,0,0,0,0,10
219.002,0,0,0,10,0
219.003,0,0,0,0,10
220.003,0,0,0,10,0
220.003,0,0,0,1,9
220.003,0,0,0,0,10
223.003,0,0,0,9,1
223.003,0,0,0,5,5
223.003,0,0,0,3,7
223.003,0,0,0,0,10
225.003,0,0,0,2,8
225.003,0,0,0,0,10
226.003,0,0,0,4,6
226.003,0,0,0,6,4
227.003,0,0,0,0,10
231.003,0,0,0,1,9
237.003,0,0,0,7,3
237.003,0,0,0,0,10
238.003,0,0,0,3,7
239.003,0,0,0,2,8
239.003,0,0,0,0,10
240.003,0,0,0,7,3
240.003,0,0,0,0,10
241.003,0,0,0,7,3
241.003,0,0,0,2,8
242.003,0,0,0,7,3
243.003,0,0,0,1,9
245.003,0,0,0,7,3
246.003,0,0,0,2,8
247.003,0,0,0,1,9
249.003,0,0,0,6,4
250.003,0,0,0,7,3
250.003,0,0,0,5,5
250.003,0,0,0,1,9
251.003,0,0,0,5,5
251.003,0,0,0,2,8
251.003,0,0,0,0,10
252.003,0,0,0,1,9
252.003,0,0,0,3,7
252.003,0,0,0,5,5
252.003,0,0,0,7,3
253.003,0,0,0,1,9
253.003,0,0,0,4,6
255.003,0,0,0,10,0
256.003,0,0,0,0,10
257.003,0,0,0,10,0
257.003,0,0,0,0,10
267.003,0,0,0,10,0
267.003,0,0,0,0,10
269.003,0,0,0,10,0
269.003,0,0,0,0,10
282.003,0,0,0,10,0
282.003,0,0,0,2,8
283.003,0,0,0,1,9
285.003,0,0,0,2,8
294.003,0,0,0,10,0
294.003,0,0,0,2,8
306.003,0,0,0,10,0
306.003,0,0,0,0,10
308.003,0,0,0,10,0
308.003,0,0,0,7,3
308.003,0,0,0,2,8
309.003,0,0,0,5,5
310.003,0,0,0,1,9
313.003,0,0,0,5,5
314.003,0,0,0,0,10
317.003,0,0,0,5,5
319.003,0,0,0,10,0
319.003,0,0,0,4,6
319.003,0,0,0,3,7
321.003,0,0,0,9,1
321.003,0,0,0,10,0
322.003,0,0,0,2,8
324.003,0,0,0,10,0
325.003,0,0,0,5,5
326.003,0,0,0,1,9
328.003,0,0,0,6,4
329.003,0,0,0,10,0
330.003,0,0,0,3,7
330.003,0,0,0,0,10
331.003,0,0,0,3,7
331.003,0,0,0,1,9
332.003,0,0,0,8,2
332.003,0,0,0,6,4
332.003,0,0,0,1,9
334.003,0,0,0,3,7
335.003,0,0,0,5,5
335.003,0,0,0,10,0
335.003,0,0,0,7,3
335.004,0,0,0,1,9
337.004,0,0,0,7,3
338.004,0,0,0,2,8
339.004,0,0,0,7,3
340.004,0,0,0,3,7
342.004,0,0,0,7,3
343.004,0,0,0,0,10
344.004,0,0,0,7,3
344.004,0,0,0,6,4
346.004,0,0,0,0,10
347.004,0,0,0,1,9
348.004,0,0,0,7,3
350.003,0,0,0,10,0
350.004,0,0,0,1,9
351.004,0,0,0,10,0
352.004,0,0,0,1,9
355.004,0,0,0,10,0
356.004,0,0,0,0,10
358.004,0,0,0,10,0
358.004,0,0,0,0,10
368.004,0,0,0,10,0
368.004,0,0,0,1,9
370.004,0,0,0,10,0
371.004,0,0,0,0,10
373.004,0,0,0,10,0
373.004,0,0,0,8,2
373.004,0,0,0,0,10
374.004,0,0,0,8,2
374.004,0,0,0,5,5
375.004,0,0,0,7,3
375.004,0,0,0,1,9
378.004,0,0,0,7,3
379.004,0,0,0,1,9
382.004,0,0,0,7,3
383.004,0,0,0,2,8
385.004,0,0,0,5,5
385.004,0,0,0,1,9
386.004,0,0,0,6,4
386.004,0,0,0,10,0
387.004,0,0,0,3,7
387.004,0,0,0,0,10
389.004,0,0,0,3,7
393.004,0,0,0,0,10
396.004,0,0,0,3,7
398.004,0,0,0,10,0
398.004,0,0,0,2,8
398.004,0,0,0,0,10
401.004,0,0,0,8,2
401.004,0,0,0,10,0
401.004,0,0,0,6,4
402.004,0,0,0,10,0
402.004,0,0,0,4,6
402.004,0,0,0,0,10
404.004,0,0,0,6,4
404.004,0,0,0,2,8
404.004,0,0,0,0,10
405.004,0,0,0,4,6
406.004,0,0,0,8,2
406.004,0,0,0,10,0
406.004,0,0,0,2,8
408.004,0,0,0,10,0
408.004,0,0,0,8,2
408.004,0,0,0,1,9
411.004,0,0,0,3,7
411.004,0,0,0,10,0
412.004,0,0,0,0,10
414.004,0,0,0,10,0
414.005,0,0,0,3,7
415.005,0,0,0,10,0
416.005,0,0,0,5,5
416.005,0,0,0,0,10
417.005,0,0,0,5,5
417.005,0,0,0,1,9
417.005,0,0,0,0,10
418.005,0,0,0,4,6
418.005,0,0,0,0,10
426.005,0,0,0,5,5
426.005,0,0,0,0,10
429.005,0,0,0,5,5
429.005,0,0,0,0,10
431.005,0,0,0,5,5
431.005,0,0,0,0,10
432.005,0,0,0,1,9
433.005,0,0,0,5,5
443.005,0,0,0,10,0
443.005,0,0,0,0,10
445.005,0,0,0,10,0
445.005,0,0,0,3,7
457.005,0,0,0,10,0
457.005,0,0,0,1,9
467.005,0,0,0,10,0
467.005,0,0,0,2,8
469.005,0,0,0,10,0
470.005,0,0,0,2,8
472.005,0,0,0,10,0
473.005,0,0,0,2,8
474.005,0,0,0,10,0
475.005,0,0,0,1,9
478.005,0,0,0,10,0
479.005,0,0,0,1,9
482.005,0,0,0,10,0
483.005,0,0,0,2,8
486.005,0,0,0,10,0
487.005,0,0,0,0,10
489.005,0,0,0,10,0
489.005,0,0,0,3,7
489.005,0,0,0,0,10
490.005,0,0,0,3,7
493.005,0,0,0,0,10
494.005,0,0,0,3,7
500.005,0,0,0,10,0
500.006,0,0,0,3,7
510.006,0,0,0,10,0
510.006,0,0,0,1,9
512.006,0,0,0,10,0
513.006,0,0,0,5,5
513.006,0,0,0,1,9
515.006,0,0,0,6,4
515.006,0,0,0,10,0
516.006,0,0,0,4,6
518.006,0,0,0,10,0
519.006,0,0,0,1,9
521.006,0,0,0,10,0
522.006,0,0,0,1,9
525.006,0,0,0,10,0
526.006,0,0,0,2,8
527.006,0,0,0,10,0
528.006,0,0,0,1,9
530.006,0,0,0,10,0
531.006,0,0,0,1,9
534.006,0,0,0,10,0
535.006,0,0,0,3,7
549.006,0,0,0,10,0
549.006,0,0,0,1,9
551.006,0,0,0,10,0
552.006,0,0,0,0,10
563.006,0,0,0,10,0
563.006,0,0,0,4,6
564.006,0,0,0,10,0
565.006,0,0,0,2,8
567.006,0,0,0,10,0
569.006,0,0,0,2,8
580.006,0,0,0,10,0
580.007,0,0,0,3,7
591.007,0,0,0,10,0
591.007,0,0,0,4,6
601.007,0,0,0,10,0
601.007,0,0,0,3,7
603.007,0,0,0,10,0
604.007,0,0,0,2,8
606.007,0,0,0,10,0
607.007,0,0,0,1,9
619.007,0,0,0,10,0
