time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
1.00003,2040.03,s,2100,2040
2.00003,4140.03,e,2100,2100
10.0001,20460.1,e,2100,2040
10.0002,20460.3,s,2100,1500
11.0002,22260.3,s,2100,1800
13.0002,26460.3,e,2100,2100
13.0002,26460.3,e,2100,NA
14.0002,27960.3,s,2100,1500
16.0002,32160.3,e,2100,2100
16.0002,32160.3,s,2100,1500
16.0002,32160.4,s,2100,1800
16.0003,32160.4,s,2100,1920
17.0002,34260.3,e,2100,2100
18.0002,36060.4,e,2100,1800
18.0003,36060.4,e,2100,1680
18.0003,36060.4,s,2100,1280
18.0003,36060.4,s,2100,1560
19.0003,37860.4,e,2100,1800
19.0003,37860.5,s,2100,1560
20.0003,39900.3,e,2100,2040
20.0003,39900.5,e,2100,1980
21.0003,41400.5,s,2100,1500
23.0003,45600.5,e,2100,2100
23.0004,45600.6,s,2100,1500
25.0004,49200.6,e,2100,1800
25.0004,49200.6,s,2100,1500
28.0004,54600.6,e,2100,1800
28.0005,54600.7,s,2100,1500
42.0005,83160.7,e,2100,2040
42.0007,83161,s,2100,1500
43.0007,85141,s,2100,1980
45.0007,89341,e,2100,2100
57.0007,113101,e,2100,1980
57.0009,113101,s,2100,1500
57.0009,113101,s,2100,1680
58.0009,115201,e,2100,2100
58.0009,115201,s,2100,1920
58.0009,115201,s,2100,1980
60.0009,119401,e,2100,2100
60.0009,119401,e,2100,1680
60.0009,119401,s,2100,NA
60.0009,119401,s,2100,1800
60.001,119401,s,2100,1980
61.0009,121441,e,2100,2040
61.0009,121441,e,2100,1980
61.001,121441,s,2100,1740
62.001,123541,e,2100,2100
62.001,123541,e,2100,NA
63.0009,125221,e,2100,1680
63.001,125222,s,2100,1500
64.001,127142,e,2100,1920
64.001,127142,s,2100,NA
64.0011,127142,s,2100,1680
64.0011,127142,s,2100,1980
64.0011,127142,s,2100,2040
65.0011,129242,e,2100,2100
65.0011,129242,e,2100,1800
65.0011,129242,s,2100,NA
67.001,132962,e,2100,1860
67.0011,132962,s,2100,1680
68.0011,135002,e,2100,2040
68.0011,135002,e,2100,1920
68.0011,135002,s,2100,NA
68.0012,135002,s,2100,1620
69.0012,137042,e,2100,2040
70.0012,138662,s,2100,1620
71.0011,140642,e,2100,1980
71.0012,140642,s,2100,1920
72.0012,142682,e,2100,2040
73.0012,144362,s,2100,1680
75.0012,148562,e,2100,2100
75.0012,148562,s,2100,1680
76.0012,150602,e,2100,2040
77.0013,152282,s,2100,1680
79.0011,156362,e,2100,2040
79.0013,156362,e,2100,1980
80.0013,157982,s,2100,1620
83.0013,164282,e,2100,2100
84.0013,165902,s,2100,1620
84.0014,165902,s,2100,1680
85.0012,168002,e,2100,2100
87.0013,171962,e,2100,1980
89.0013,175802,s,2100,1920
92.0013,182102,e,2100,2100
96.0014,189782,e,2100,1920
97.0014,191282,s,2100,1500
98.0014,193262,e,2100,1980
99.0014,194762,s,2100,1500
102.001,200882,e,2100,2040
103.001,202382,s,2100,1500
103.001,202382,s,2100,1800
104.001,204482,e,2100,2100
104.001,204482,s,2100,1800
106.001,208442,e,2100,1980
107.002,210122,s,2100,1680
116.001,228482,e,2100,2040
116.002,228483,s,2100,1860
120.002,236642,e,2100,2040
120.002,236643,s,2100,1680
123.002,242043,e,2100,1800
124.002,243723,s,2100,1680
124.002,243723,s,2100,1860
126.002,247803,e,2100,2040
126.002,247803,e,2100,1860
127.002,249483,s,2100,1680
129.002,253683,e,2100,2100
129.002,253683,s,2100,1680
130.002,255722,e,2100,2040
130.002,255723,s,2100,1860
131.002,257703,e,2100,1980
132.002,259563,e,2100,1860
134.002,262563,s,2100,1500
135.002,264663,e,2100,2100
135.002,264663,s,2100,1500
135.002,264663,s,2100,1920
136.002,266763,e,2100,2100
136.002,266763,s,2100,1920
137.002,268803,e,2100,2040
138.002,270723,e,2100,1920
138.002,270723,s,2100,1500
149.002,293823,e,2100,2100
149.002,293823,s,2100,1500
152.002,299943,e,2100,2040
153.002,301443,s,2100,1500
153.002,301443,s,2100,1920
156.002,307743,e,2100,2100
157.002,309663,s,2100,1920
167.002,329463,e,2100,1980
167.002,329463,s,2100,1560
170.002,335583,e,2100,2040
180.002,355383,e,2100,1980
180.002,355384,s,2100,1500
180.002,355384,s,2100,1800
182.002,359464,e,2100,2040
195.002,382864,e,2100,1800
195.003,382864,s,2100,1500
196.003,384844,e,2100,1980
197.003,386344,s,2100,1500
199.003,390424,e,2100,2040
200.003,391924,s,2100,1500
210.003,412924,e,2100,2100
210.003,412924,s,2100,1500
211.003,414844,s,2100,1920
213.003,419044,e,2100,2100
213.003,419044,s,2100,1680
214.003,421084,e,2100,2040
214.003,421084,e,2100,1860
215.003,422584,s,2100,1500
215.003,422584,s,2100,1860
216.003,424504,e,2100,1920
216.003,424504,e,2100,1560
216.003,424504,s,2100,NA
217.003,426064,s,2100,1560
219.003,429904,e,2100,1920
220.003,431764,e,2100,1860
220.003,431764,s,2100,1500
221.003,433324,s,2100,1560
222.003,435424,e,2100,2100
223.003,437464,e,2100,2040
224.003,438964,s,2100,1500
224.003,438964,s,2100,1860
226.003,443044,e,2100,2040
227.003,444905,s,2100,1860
230.003,451205,e,2100,2100
230.003,451205,s,2100,1860
231.003,453245,e,2100,2040
235.003,460684,e,2100,1860
235.003,460685,s,2100,1500
237.003,464645,e,2100,1980
238.003,466145,s,2100,1500
249.003,487925,e,2100,1980
249.003,487925,s,2100,1500
250.003,490025,e,2100,2100
250.003,490025,s,2100,1500
250.003,490025,s,2100,1560
251.003,492005,e,2100,1980
253.003,495845,e,2100,1920
254.003,497345,s,2100,1500
254.003,497345,s,2100,1740
255.003,499445,e,2100,2100
255.003,499445,s,2100,1740
256.003,501545,e,2100,2100
256.003,501545,s,2100,1860
257.003,503645,e,2100,2100
257.003,503645,s,2100,1740
258.003,505745,e,2100,2100
258.003,505745,s,2100,1860
268.003,525545,e,2100,1980
268.004,525545,s,2100,1620
270.004,529745,e,2100,2100
270.004,529745,s,2100,1620
271.003,531845,e,2100,2100
272.004,533825,e,2100,1980
273.003,535325,s,2100,1500
276.003,541265,e,2100,1980
277.004,542765,s,2100,1500
280.004,549065,e,2100,2100
280.004,549065,s,2100,1500
283.004,555005,e,2100,1980
284.004,556505,s,2100,1500
286.004,560705,e,2100,2100
286.004,560705,s,2100,1500
288.004,564785,e,2100,2040
289.004,566286,s,2100,1500
290.004,568326,e,2100,2040
291.004,569826,s,2100,1500
292.004,571626,s,2100,1800
294.004,575586,e,2100,1980
294.004,575586,e,2100,1680
295.004,577086,s,2100,1500
295.004,577086,s,2100,1800
297.004,581286,e,2100,2100
297.004,581286,s,2100,1800
297.004,581286,s,2100,1980
298.004,583386,e,2100,2100
298.004,583386,e,2100,1800
299.004,585066,s,2100,1680
301.004,589266,e,2100,2100
301.004,589266,s,2100,1680
302.004,591246,e,2100,1980
303.004,592926,s,2100,1680
305.004,597126,e,2100,2100
305.004,597126,s,2100,1680
307.004,601206,e,2100,2040
310.004,606246,e,2100,1680
310.004,606246,s,2100,1500
313.004,612366,e,2100,2040
314.004,613866,s,2100,1500
316.004,617946,e,2100,2040
317.004,619446,s,2100,1500
317.004,619446,s,2100,1680
317.004,619446,s,2100,1860
318.004,621486,e,2100,2040
319.004,623346,s,2100,1860
320.004,625386,e,2100,2040
322.004,629106,e,2100,1860
323.004,630786,s,2100,1680
327.004,639186,e,2100,2100
327.004,639186,s,2100,1920
329.004,643146,e,2100,1980
336.004,656586,e,2100,1920
336.004,656586,s,2100,1500
338.004,660546,e,2100,1980
339.004,662046,s,2100,1500
339.004,662046,s,2100,1800
342.004,668346,e,2100,2100
342.004,668346,s,2100,1800
344.004,672307,s,2100,1980
345.004,674346,e,2100,2040
346.004,676207,e,2100,1860
347.004,678007,s,2100,1800
348.004,680107,e,2100,2100
348.004,680107,s,2100,1800
351.004,686407,e,2100,2100
352.004,688207,s,2100,1800
354.004,692406,e,2100,2100
354.004,692406,s,2100,1800
355.004,694507,e,2100,2100
356.004,696306,e,2100,1800
356.004,696307,s,2100,1500
356.004,696307,s,2100,1980
366.004,717307,e,2100,2100
366.004,717307,s,2100,1620
367.004,719287,s,2100,1980
369.004,723367,e,2100,2040
369.004,723367,e,2100,1920
371.005,727087,s,2100,1860
372.005,729187,e,2100,2100
377.004,738487,e,2100,1860
377.005,738487,s,2100,1500
379.005,742687,e,2100,2100
379.005,742687,s,2100,1500
393.005,768727,e,2100,1860
393.005,768727,s,2100,1500
408.005,800227,e,2100,2100
408.005,800227,s,2100,1500
408.005,800227,s,2100,1980
409.005,802327,e,2100,2100
409.005,802327,s,2100,1620
410.005,804307,e,2100,1980
410.005,804307,e,2100,1860
411.005,805807,s,2100,1500
413.005,809647,e,2100,1920
414.005,811147,s,2100,1500
425.005,833587,e,2100,2040
425.005,833588,s,2100,1500
426.005,835448,e,2100,1860
427.005,836948,s,2100,1500
430.005,843068,e,2100,2040
431.005,844568,s,2100,1500
432.005,846668,e,2100,2100
432.005,846668,s,2100,1500
432.005,846668,s,2100,1740
433.005,848768,e,2100,2100
434.005,850628,s,2100,1860
435.005,852728,e,2100,2100
437.005,856208,s,2100,1740
440.005,862508,e,2100,2100
440.005,862508,s,2100,1740
443.005,868448,e,2100,1980
446.005,873668,s,2100,1740
447.005,875768,e,2100,2100
447.005,875768,s,2100,1860
447.005,875768,e,2100,2100
447.005,875768,s,2100,1740
449.005,879968,e,2100,2100
449.005,879968,e,2100,1860
450.005,881468,s,2100,1500
452.005,885428,e,2100,1980
453.005,886928,s,2100,1500
455.005,890888,e,2100,1980
457.005,893888,s,2100,1500
460.005,900008,e,2100,2040
461.005,901508,s,2100,1500
462.005,903488,e,2100,1980
463.006,904988,s,2100,1500
464.006,906908,s,2100,1920
465.006,909008,e,2100,2100
465.006,909008,s,2100,1920
466.006,911108,e,2100,2100
466.006,911108,s,2100,1680
468.006,915188,e,2100,2040
469.006,917048,s,2100,1860
470.006,919088,e,2100,2040
471.006,920948,s,2100,1860
472.006,922988,s,2100,2040
473.006,925088,e,2100,2100
474.006,927128,e,2100,2040
475.006,928989,s,2100,1860
476.006,931088,e,2100,2100
476.006,931088,s,2100,1740
478.006,935288,e,2100,2100
479.006,937028,s,2100,1740
480.006,939068,e,2100,2040
483.006,944288,s,2100,1740
485.006,948488,e,2100,2100
485.006,948489,s,2100,1740
485.006,948489,s,2100,1860
488.006,954609,e,2100,2040
489.006,956528,e,2100,1920
489.006,956529,s,2100,1680
491.006,960729,e,2100,2100
491.006,960729,s,2100,1680
494.006,967029,e,2100,2100
494.006,967029,s,2100,1680
495.006,969129,e,2100,2100
497.006,972969,e,2100,1920
498.006,974469,s,2100,1500
500.006,978309,e,2100,1920
501.006,979809,s,2100,1500
502.006,981909,e,2100,2100
502.006,981909,s,2100,1500
516.006,1.00963e+06,e,2100,1980
516.006,1.00963e+06,s,2100,1500
518.006,1.01371e+06,e,2100,2040
518.006,1.01371e+06,s,2100,1500
518.006,1.01371e+06,s,2100,1560
521.006,1.02001e+06,e,2100,2100
521.006,1.02001e+06,s,2100,1560
529.006,1.03633e+06,e,2100,2040
534.006,1.04623e+06,e,2100,1980
534.006,1.04623e+06,s,2100,1500
535.006,1.04821e+06,e,2100,1980
536.006,1.04971e+06,s,2100,1500
538.006,1.05379e+06,e,2100,2040
539.006,1.05529e+06,s,2100,1500
554.006,1.08679e+06,e,2100,2100
554.006,1.08679e+06,s,2100,1500
557.006,1.09309e+06,e,2100,2100
557.006,1.09309e+06,s,2100,1500
570.006,1.11961e+06,e,2100,2040
570.007,1.11961e+06,s,2100,1500
573.007,1.12573e+06,e,2100,2040
574.007,1.12723e+06,s,2100,1500
575.007,1.12903e+06,e,2100,1800
576.007,1.13053e+06,s,2100,1500
577.007,1.13257e+06,e,2100,2040
579.007,1.13557e+06,s,2100,1500
582.007,1.14187e+06,e,2100,2100
582.007,1.14187e+06,s,2100,1500
593.007,1.16233e+06,e,2100,1860
593.007,1.16233e+06,s,2100,1500
594.007,1.16437e+06,e,2100,2040
595.007,1.16587e+06,s,2100,1500
597.007,1.16971e+06,e,2100,1920
598.007,1.17121e+06,s,2100,1500
600.007,1.17529e+06,e,2100,2040
601.007,1.17679e+06,s,2100,1500
603.007,1.18039e+06,e,2100,1800
604.007,1.18189e+06,s,2100,1500
605.007,1.18399e+06,e,2100,2100
607.007,1.18699e+06,s,2100,1500
608.007,1.18885e+06,e,2100,1860
609.007,1.19035e+06,s,2100,1500
619.007,1.21015e+06,e,2100,1980
620.007,1.21165e+06,s,2100,1500
621.007,1.21375e+06,e,2100,2100
621.007,1.21375e+06,s,2100,1500
624.007,1.21951e+06,e,2100,1920
